banner_id,type,system_id,priority,start_date,end_date,sub_banner_id_1,is_show_room
10000,1,302,1,"2018/01/01 15:00:00","2018/02/28 14:59:59",0,0
10001,1,302,1,"2018/02/28 15:00:00","2018/03/15 14:59:59",0,0
10002,1,302,1,"2018/03/15 15:00:00","2018/03/31 14:59:59",0,0
10003,1,302,1,"2018/12/21 16:00:00","2018/12/27 15:59:59",0,0
10004,1,302,1,"2018/04/16 15:00:00","2018/04/30 11:59:59",0,0
10005,1,302,1,"2019/01/03 16:00:00","2019/01/09 15:59:59",0,0
10006,1,302,2,"2018/10/09 16:00:00","2018/10/22 15:59:59",0,0
10007,1,302,2,"2018/10/22 16:00:00","2018/11/08 15:59:59",0,0
10008,1,302,1,"2018/11/08 16:00:00","2018/11/15 15:59:59",0,0
10009,1,302,1,"2018/11/15 16:00:00","2018/11/30 15:59:59",0,0
10010,1,302,1,"2018/11/30 16:00:00","2018/12/13 15:59:59",0,0
10011,1,302,1,"2018/12/13 16:00:00","2018/12/27 15:59:59",0,0
10012,1,302,2,"2018/12/27 16:00:00","2019/01/09 15:59:59",0,0
10013,1,302,2,"2019/01/09 16:00:00","2019/01/22 15:59:59",0,0
10014,1,302,1,"2019/01/22 16:00:00","2019/02/01 11:59:59",0,0
10015,1,302,1,"2019/02/13 16:00:00","2019/02/27 15:59:59",0,0
10016,1,302,1,"2019/02/27 16:00:00","2019/03/13 15:59:59",0,0
10017,1,302,1,"2019/03/13 16:00:00","2019/03/27 15:59:59",0,0
10018,1,302,1,"2019/03/27 16:00:00","2019/04/03 15:59:59",0,0
10019,1,302,1,"2019/04/03 16:00:00","2019/04/19 15:59:59",0,0
10020,1,302,1,"2019/04/19 16:00:00","2019/05/07 15:59:59",0,0
10021,1,302,1,"2019/05/14 16:00:00","2019/06/03 15:59:59",0,0
10022,1,302,1,"2019/06/03 16:00:00","2019/06/17 15:59:59",0,0
10023,1,302,1,"2019/06/17 16:00:00","2019/07/01 15:59:59",0,0
10024,1,302,1,"2019/07/15 16:00:00","2019/07/26 15:59:59",0,0
10025,1,302,1,"2019/07/26 16:00:00","2019/08/01 15:59:59",0,0
10026,1,302,1,"2019/08/28 16:00:00","2019/09/02 15:59:59",0,0
10027,1,302,1,"2019/08/01 16:00:00","2019/08/15 15:59:59",0,0
10028,1,302,1,"2019/08/15 16:00:00","2019/08/28 15:59:59",0,0
10029,1,302,1,"2019/09/09 16:00:00","2019/09/17 15:59:59",0,0
10030,1,302,1,"2019/09/17 16:00:00","2019/09/20 15:59:59",0,0
10031,1,302,1,"2019/09/20 16:00:00","2019/10/01 15:59:59",0,0
10032,1,302,1,"2019/10/01 16:00:00","2019/10/15 15:59:59",0,0
10033,1,302,1,"2019/10/15 16:00:00","2019/10/18 15:59:59",0,0
10034,1,302,1,"2019/10/18 16:00:00","2019/11/01 15:59:59",0,0
10035,1,302,1,"2019/11/01 16:00:00","2019/11/15 15:59:59",0,0
10036,1,302,1,"2019/11/15 16:00:00","2019/11/19 15:59:59",90001,0
10037,1,302,1,"2019/11/19 16:00:00","2019/12/02 15:59:59",0,0
10038,1,302,1,"2019/12/02 16:00:00","2019/12/13 15:59:59",0,0
10039,1,302,1,"2019/12/13 16:00:00","2019/12/16 15:59:59",90002,0
10040,1,302,1,"2019/12/16 16:00:00","2019/12/30 15:59:59",0,0
10041,1,302,1,"2019/12/30 16:00:00","2020/01/02 15:59:59",0,0
10042,1,302,4,"2020/01/02 16:00:00","2020/01/10 15:59:59",0,0
10043,1,302,4,"2020/01/28 16:00:00","2020/02/04 15:59:59",90003,0
10044,1,302,4,"2020/01/10 16:00:00","2020/01/21 15:59:59",0,0
10045,1,302,4,"2020/02/04 16:00:00","2020/02/14 15:59:59",0,0
10046,1,302,4,"2020/02/14 16:00:00","2020/02/19 15:59:59",90004,0
10047,1,302,4,"2020/02/19 16:00:00","2020/03/04 15:59:59",0,0
10048,1,302,4,"2020/03/04 16:00:00","2020/03/13 15:59:59",0,0
10049,1,302,4,"2020/03/13 16:00:00","2020/03/19 15:59:59",0,0
10050,1,302,4,"2020/03/19 16:00:00","2020/04/01 15:59:59",0,0
10051,1,302,4,"2020/04/01 16:00:00","2020/04/14 15:59:59",0,0
10052,1,302,4,"2020/04/14 16:00:00","2020/04/22 15:59:59",90005,0
10053,1,302,4,"2020/04/22 16:00:00","2020/05/05 15:59:59",0,0
10054,1,302,4,"2020/05/08 16:00:00","2020/05/15 15:59:59",0,0
10055,1,302,4,"2020/05/15 16:00:00","2020/05/22 15:59:59",90006,0
10056,1,302,4,"2020/05/22 16:00:00","2020/06/03 15:59:59",0,0
10057,1,302,4,"2020/06/03 16:00:00","2020/06/15 15:59:59",0,0
10058,1,302,4,"2020/06/15 16:00:00","2020/06/22 15:59:59",0,0
10059,1,302,4,"2020/08/03 16:00:00","2020/08/06 15:59:59",90007,0
10060,1,302,4,"2020/09/30 16:00:00","2020/10/13 15:59:59",0,0
10061,1,302,4,"2020/10/13 16:00:00","2020/10/26 15:59:59",0,0
10062,1,302,4,"2020/08/17 16:00:00","2020/08/21 15:59:59",90008,0
10063,1,302,4,"2020/07/02 16:00:00","2020/07/13 15:59:59",0,0
10064,1,302,4,"2020/07/13 16:00:00","2020/07/20 15:59:59",90009,0
10065,1,302,4,"2020/07/20 16:00:00","2020/07/30 15:59:59",0,0
10066,1,302,4,"2020/07/30 16:00:00","2020/08/03 15:59:59",0,0
10067,1,302,4,"2020/08/06 16:00:00","2020/08/17 15:59:59",0,0
10068,1,302,4,"2020/09/11 16:00:00","2020/09/16 15:59:59",90010,0
10069,1,302,4,"2020/08/21 16:00:00","2020/09/01 15:59:59",0,0
10070,1,302,4,"2020/09/04 16:00:00","2020/09/11 15:59:59",0,0
10071,1,302,4,"2020/10/26 16:00:00","2020/11/02 15:59:59",90011,0
10072,1,302,4,"2020/09/16 16:00:00","2020/09/24 15:59:59",0,0
10073,1,302,4,"2020/09/24 16:00:00","2020/09/30 15:59:59",0,0
19001,1,302,1,"2018/09/14 16:00:00","2018/09/21 15:59:59",0,0
19002,1,302,1,"2018/09/21 16:00:00","2018/10/09 15:59:59",0,0
19003,1,302,1,"2019/01/03 19:00:00","2019/02/13 15:59:59",0,0
20000,2,101,5,"2018/01/01 15:00:00","2030/01/01 23:59:59",0,0
20001,1,302,1,"2018/11/08 16:00:00","2018/11/12 15:59:59",0,0
20002,1,902,6,"2018/10/26 16:00:00","2018/11/08 15:59:59",0,0
20003,1,302,1,"2020/08/03 16:00:00","2020/08/09 15:59:59",0,0
20004,1,305,2,"2020/07/20 16:00:00","2020/07/27 15:59:59",0,0
20005,4,908,3,"2020/06/22 16:00:00","2020/07/02 15:59:59",0,0
20006,1,903,6,"2019/07/24 16:00:00","2019/07/29 15:59:59",0,1
20007,1,903,6,"2019/07/29 16:00:00","2019/08/01 15:59:59",0,1
20008,1,903,6,"2019/08/01 16:00:00","2019/08/08 15:59:59",0,1
20011,1,307,1,"2020/05/05 16:00:00","2020/05/12 15:59:59",0,0
50018,1,303,1,"2019/02/01 12:00:00","2019/02/04 23:59:59",0,0
50023,1,303,1,"2019/05/07 16:00:00","2019/05/14 15:59:59",50018,0
50027,1,303,1,"2019/07/01 16:00:00","2019/07/15 15:59:59",0,0
50033,1,303,1,"2019/09/02 16:00:00","2019/09/09 15:59:59",50018,0
50047,1,303,1,"2020/01/21 16:00:00","2020/01/28 15:59:59",0,0
50061,1,303,2,"2020/05/05 16:00:00","2020/05/08 15:59:59",0,0
50067,1,303,1,"2020/06/22 16:00:00","2020/07/02 15:59:59",0,0
50079,1,303,1,"2020/09/01 16:00:00","2020/09/04 15:59:59",0,0
50084,1,303,1,"2020/11/02 16:00:00","2020/11/05 15:59:59",0,0
