id,campaign_id,gacha_id
1,1,30009
2,2,30011
3,3,30016
4,4,30022
5,4,50023
6,5,50027
7,6,30031
8,7,30044
9,7,30045
10,8,30060
11,8,50061
12,9,50067
13,9,30072
14,10,30068
15,10,30076
16,11,50094
17,11,30093
18,11,40003
19,12,50108
20,12,30099
21,13,30103
22,14,30107
23,15,30114
24,15,40004
25,15,30117
26,15,30118
27,16,30117
28,16,30118
29,16,50119
30,16,30120
31,16,30122
32,16,30126
33,16,30123
34,16,50129
35,16,30125
36,17,30127
37,17,30130
38,18,30148
39,18,40005
40,18,30150
41,18,50151
42,19,50151
43,19,30152
44,19,30153
45,19,30154
46,19,40006
47,19,30156
48,19,30157
49,20,30161
50,20,30163
51,21,30163
52,21,30164
53,21,30166
54,21,30167
55,22,30171
56,22,30170
57,22,50172
58,22,30173
59,23,30173
60,23,30174
61,23,30175
62,23,30176
