id,campaign_category,value,system_id,icon_image,start_time,end_time,level_id,shiori_group_id,duplication_order
1,34,2000.0,103,30,"2018/08/20 16:00:00","2018/08/27 15:59:59",0,0,0
2,44,2000.0,103,40,"2018/08/20 16:00:00","2018/08/27 15:59:59",0,0,0
3,45,2000.0,104,40,"2018/08/27 16:00:00","2018/09/03 15:59:59",0,0,0
4,31,2000.0,101,30,"2018/09/05 16:00:00","2018/09/10 15:59:59",0,0,0
5,41,2000.0,101,40,"2018/09/05 16:00:00","2018/09/10 15:59:59",0,0,0
6,32,2000.0,102,30,"2018/09/10 16:00:00","2018/09/14 15:59:59",0,0,0
7,42,2000.0,102,40,"2018/09/10 16:00:00","2018/09/14 15:59:59",0,0,0
8,34,2000.0,103,30,"2018/09/14 16:00:00","2018/09/21 15:59:59",0,0,0
9,44,2000.0,103,40,"2018/09/14 16:00:00","2018/09/21 15:59:59",0,0,0
10,45,2000.0,104,40,"2018/09/21 16:00:00","2018/10/01 04:59:59",0,0,0
11,34,2000.0,103,30,"2018/10/01 05:00:00","2018/10/11 04:59:59",0,0,0
12,44,2000.0,103,40,"2018/10/01 05:00:00","2018/10/11 04:59:59",0,0,0
13,45,2000.0,104,40,"2018/10/11 05:00:00","2018/10/22 04:59:59",0,0,0
14,31,2000.0,101,30,"2018/10/22 05:00:00","2018/10/27 04:59:59",0,0,0
15,41,2000.0,101,40,"2018/10/22 05:00:00","2018/10/27 04:59:59",0,0,0
16,32,2000.0,102,30,"2018/10/27 05:00:00","2018/11/01 04:59:59",0,0,0
17,42,2000.0,102,40,"2018/10/27 05:00:00","2018/11/01 04:59:59",0,0,0
18,34,2000.0,103,30,"2018/11/01 05:00:00","2018/11/10 04:59:59",0,0,0
19,44,2000.0,103,40,"2018/11/01 05:00:00","2018/11/10 04:59:59",0,0,0
20,45,2000.0,104,40,"2018/11/10 05:00:00","2018/11/20 04:59:59",0,0,0
21,31,2000.0,101,30,"2018/11/20 05:00:00","2018/11/26 04:59:59",0,0,0
22,41,2000.0,101,40,"2018/11/20 05:00:00","2018/11/26 04:59:59",0,0,0
23,32,2000.0,102,30,"2018/11/26 05:00:00","2018/11/30 04:59:59",0,0,0
24,42,2000.0,102,40,"2018/11/26 05:00:00","2018/11/30 04:59:59",0,0,0
25,34,2000.0,103,30,"2018/12/01 05:00:00","2018/12/11 04:59:59",0,0,0
26,44,2000.0,103,40,"2018/12/01 05:00:00","2018/12/11 04:59:59",0,0,0
27,45,2000.0,104,40,"2018/12/11 05:00:00","2018/12/21 04:59:59",0,0,0
28,31,2000.0,101,30,"2018/12/21 05:00:00","2018/12/26 04:59:59",0,0,0
29,41,2000.0,101,40,"2018/12/21 05:00:00","2018/12/26 04:59:59",0,0,0
30,32,2000.0,102,30,"2018/12/26 05:00:00","2018/12/31 04:59:59",0,0,0
31,42,2000.0,102,40,"2018/12/26 05:00:00","2018/12/31 04:59:59",0,0,0
32,34,2000.0,103,30,"2018/12/31 05:00:00","2019/01/11 04:59:59",0,0,0
33,44,2000.0,103,40,"2018/12/31 05:00:00","2019/01/11 04:59:59",0,0,0
34,45,2000.0,104,40,"2019/01/11 05:00:00","2019/01/22 04:59:59",0,0,0
35,31,2000.0,101,30,"2019/01/22 05:00:00","2019/01/27 04:59:59",0,0,0
36,41,2000.0,101,40,"2019/01/22 05:00:00","2019/01/27 04:59:59",0,0,0
37,32,2000.0,102,30,"2019/01/27 05:00:00","2019/02/01 04:59:59",0,0,0
38,42,2000.0,102,40,"2019/01/27 05:00:00","2019/02/01 04:59:59",0,0,0
39,34,3000.0,103,30,"2019/02/01 05:00:00","2019/02/10 04:59:59",0,0,0
40,44,3000.0,103,40,"2019/02/01 05:00:00","2019/02/10 04:59:59",0,0,0
41,45,2000.0,104,40,"2019/02/10 05:00:00","2019/02/19 04:59:59",0,0,0
42,31,3000.0,101,30,"2019/02/19 05:00:00","2019/02/24 04:59:59",0,0,0
43,41,3000.0,101,40,"2019/02/19 05:00:00","2019/02/24 04:59:59",0,0,0
