rail_id,gimmick_1_id,gimmick_1_x,gimmick_2_id,gimmick_2_x,gimmick_3_id,gimmick_3_x,gimmick_4_id,gimmick_4_x,gimmick_5_id,gimmick_5_x,gimmick_6_id,gimmick_6_x,gimmick_7_id,gimmick_7_x,gimmick_8_id,gimmick_8_x,gimmick_9_id,gimmick_9_x,gimmick_10_id,gimmick_10_x
101,TrapA,700,AccelBoardA,1400,EnemyA,2200,SpeedTerritoryA,3100,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
102,TrapA,1000,TrapA,1500,AccelBoardA,2000,EnemyA,2800,AccelBoardA,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
103,EnemyA,550,AccelBoardA,1600,TrapA,2500,TrapA,3100,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
104,EnemyB,1280,AccelBoardA,1900,AccelBoardA,2300,AccelBoardA,2700,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
201,EnemyA,600,AccelBoardA,1000,EnemyA,1800,SpeedTerritoryA,2500,JumpOverTrap,3100,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
202,AccelBoardA,500,EnemyA,1300,JumpOverTrap,1800,EnemyA,2400,JumpOverTrap,3100,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
203,JumpOverTrap,400,SpeedTerritoryA,1400,JumpOverTrap,2200,EnemyB,3000,JumpOverTrap,3500,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
204,SpeedTerritoryA,900,AccelBoardA,1400,TrapA,2100,EnemyA,2600,TrapA,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
301,AccelBoardA,600,EnemyB,1400,AccelBoardA,2300,TrapA,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
302,TrapA,500,TrapA,1200,TrapA,2000,EnemyA,2500,AccelBoardA,3000,TrapA,3800,NONE,0,NONE,0,NONE,0,NONE,0
303,EnemyA,800,TrapA,1200,TrapA,1800,AccelBoardA,2500,SpeedTerritoryA,3400,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
304,EnemyB,900,AccelBoardA,1300,AccelBoardA,2000,AccelBoardA,2700,AccelBoardA,3400,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
401,SpeedTerritoryA,600,AccelBoardA,1400,EnemyA,2300,TrapA,2700,AccelBoardA,3200,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
402,EnemyA,500,TrapA,1000,SpeedTerritoryA,1700,WarpGateA,2500,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
403,AccelBoardA,700,EnemyA,1500,EnemyA,3000,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
404,TrapA,700,AccelBoardA,1400,EnemyA,2200,SpeedTerritoryA,3100,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
501,SpeedTerritoryA,800,TrapA,1700,WarpGateA,2500,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
502,AccelBoardA,500,SpeedTerritoryA,1200,TrapA,2700,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
503,EnemyA,500,AccelBoardA,1000,TrapA,2000,AccelBoardA,3000,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
504,TrapA,1000,TrapA,1500,AccelBoardA,2000,EnemyA,2800,AccelBoardA,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
601,AccelBoardA,500,EnemyA,1100,AccelBoardA,1500,EnemyA,2200,TrapA,2700,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
602,EnemyB,1280,AccelBoardA,1900,AccelBoardA,2300,AccelBoardA,2700,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
603,AccelBoardA,1500,WarpGateA,2400,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
604,EnemyA,550,AccelBoardA,1600,TrapA,2500,TrapA,3100,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
