clan_battle_id,period,period_detail,period_detail_bg,period_detail_s,period_detail_bg_s,period_detail_bg_position,period_detail_boss_position_x,period_detail_boss_position_y,start_time,end_time,interval_start,interval_end,calc_start,result_start,result_end,limit_time,chest_id,quest_detail_rehearsal_label_height,min_carry_over_time,tw_open_new_banner
1001,1,"戰隊競賽開始！\n和戰隊夥伴們一起討伐怪物吧！",101011,"戰隊競賽開始！\n培育角色挑戰怪獸吧！",101011,0,0,0,"2018/08/22 16:00:00","2018/08/31 23:59:59",2018/09/01,"2018/09/21 15:59:59",2018/09/01,"2018/09/04 16:00:00","2018/09/21 15:59:59",90,40004,25,0,0
1002,1,"和戰隊夥伴們一起\n討伐強力的怪物吧！",101021,"戰隊競賽開始！\n培育角色挑戰怪獸吧！",101021,0,0,0,"2018/09/21 16:00:00","2018/09/30 23:59:59",2018/10/01,"2018/10/22 15:59:59",2018/10/01,"2018/10/03 16:00:00","2018/10/22 15:59:59",90,40004,25,0,0
1003,1,"和戰隊夥伴們一起\n討伐強力的怪物吧！",101042,"戰隊競賽開始！\n培育角色挑戰怪獸吧！",101042,0,0,0,"2018/10/22 16:00:00","2018/10/31 23:59:59",2018/11/01,"2018/11/20 04:59:59",2018/11/01,"2018/11/05 16:00:00","2018/11/20 04:59:59",90,40004,25,0,0
1004,1,"和戰隊夥伴們一起\n討伐強力的怪物吧！",101161,"戰隊競賽開始！\n培育角色挑戰怪獸吧！",101161,0,0,0,"2018/11/20 05:00:00","2018/11/29 23:59:59",2018/11/30,"2018/12/21 15:59:59",2018/11/30,"2018/12/05 16:00:00","2018/12/21 15:59:59",90,40004,25,0,0
1005,1,"和戰隊夥伴們一起\n討伐強力的怪物吧！",101171,"戰隊競賽開始！\n培育角色挑戰怪獸吧！",101171,0,0,0,"2018/12/21 16:00:00","2018/12/30 23:59:59",2018/12/31,"2019/01/22 15:59:59",2018/12/31,"2019/01/07 16:00:00","2019/01/22 15:59:59",90,40004,25,0,0
1006,1,"和戰隊夥伴們一起\n討伐強力的怪物吧！",101191,"戰隊競賽開始！\n培育角色挑戰怪獸吧！",101191,0,0,0,"2019/01/22 16:00:00","2019/01/30 23:59:59",2019/01/31,"2019/02/19 04:59:59",2019/01/31,"2019/02/01 16:00:00","2019/02/19 04:59:59",90,40004,25,0,0
1007,1,"和戰隊夥伴們一起\n討伐強力的怪物吧！",101202,"戰隊競賽開始！\n培育角色挑戰怪獸吧！",101202,0,0,0,"2019/02/19 05:00:00","2019/02/28 23:59:59",2019/03/01,"2019/03/22 04:59:59",2019/03/01,"2019/03/05 16:00:00","2019/03/22 04:59:59",90,40004,25,0,0
1008,1,"和戰隊夥伴們一起\n討伐強力的怪物吧！",101292,"戰隊競賽開始！\n培育角色挑戰怪獸吧！",101292,0,0,0,"2019/03/22 05:00:00","2019/03/31 23:59:59",2019/04/01,"2019/04/22 04:59:59",2019/04/01,"2019/04/03 16:00:00","2019/04/22 04:59:59",90,40004,25,0,0
1009,1,"和戰隊夥伴們一起\n討伐強力的怪物吧！",101302,"戰隊競賽開始！\n培育角色挑戰怪獸吧！",101302,0,0,0,"2019/04/22 05:00:00","2019/04/30 23:59:59",2019/05/01,"2019/05/23 04:59:59",2019/05/01,"2019/05/07 16:00:00","2019/05/23 04:59:59",90,40004,25,0,0
1010,1,"和戰隊夥伴們一起\n討伐強力的怪物吧！",101441,"戰隊競賽開始！\n培育角色挑戰怪獸吧！",101441,0,0,0,"2019/05/23 05:00:00","2019/05/31 23:59:59",2019/06/01,"2019/06/22 04:59:59",2019/06/01,"2019/06/12 16:00:00","2019/06/22 04:59:59",90,40004,25,0,0
1011,1,"和戰隊夥伴們一起\n討伐強力的怪物吧！",101452,"戰隊競賽開始！\n培育角色挑戰怪獸吧！",101452,0,0,0,"2019/06/22 05:00:00","2019/06/30 23:59:59",2019/07/01,"2019/07/24 04:59:59",2019/07/01,"2019/07/03 16:00:00","2019/07/24 04:59:59",90,40004,25,0,0
1012,1,"和戰隊夥伴們一起\n討伐強力的怪物吧！",101562,"戰隊競賽開始！\n培育角色挑戰怪獸吧！",101562,0,0,0,"2019/07/24 05:00:00","2019/07/31 23:59:59",2019/08/01,"2019/08/23 04:59:59",2019/08/01,"2019/08/05 16:00:00","2019/08/23 04:59:59",90,40004,25,0,1
1013,1,"和戰隊夥伴們一起\n討伐強力的怪物吧！",101011,"戰隊競賽開始！\n培育角色挑戰怪獸吧！",101011,0,0,0,"2019/08/23 05:00:00","2019/08/31 23:59:59",2019/09/01,"2019/09/23 04:59:59",2019/09/01,"2019/09/05 16:00:00","2019/09/23 04:59:59",90,40004,25,0,1
1014,1,"和戰隊夥伴們一起\n討伐強力的怪物吧！",101021,"戰隊競賽開始！\n培育角色挑戰怪獸吧！",101021,0,0,0,"2019/09/23 05:00:00","2019/09/30 23:59:59",2019/10/01,"2019/10/24 04:59:59",2019/10/01,"2019/10/03 16:00:00","2019/10/24 04:59:59",90,40004,25,0,1
1015,1,"和戰隊夥伴們一起\n討伐強力的怪物吧！",101042,"戰隊競賽開始！\n培育角色挑戰怪獸吧！",101042,0,0,0,"2019/10/24 05:00:00","2019/10/31 23:59:59",2019/11/01,"2019/11/23 04:59:59",2019/11/01,"2019/11/05 16:00:00","2019/11/23 04:59:59",90,40004,25,0,1
1016,1,"和戰隊夥伴們一起\n討伐強力的怪物吧！",101162,"戰隊競賽開始！\n培育角色挑戰怪獸吧！",101162,0,0,0,"2019/11/23 05:00:00","2019/11/30 23:59:59",2019/12/01,"2019/12/23 04:59:59",2019/12/01,"2019/12/04 16:00:00","2019/12/23 04:59:59",90,40004,25,0,1
