clan_battle_id,release_month,last_clan_battle_id,point_per_stamina,cost_group_id,cost_group_id_s,map_bgm,resource_id,start_time,end_time
1001,8,0,1,1,2,bgm_M90,1,"2018/08/22 16:00:00","2018/09/21 15:59:59"
1002,9,1001,1,1,2,bgm_M97,2,"2018/09/21 16:00:00","2018/10/22 15:59:59"
1003,10,1002,1,1,2,bgm_M104,1,"2018/10/22 16:00:00","2018/11/20 04:59:59"
1004,11,1003,1,1,2,bgm_M115,2,"2018/11/20 05:00:00","2018/12/21 15:59:59"
1005,12,1004,1,1,2,bgm_M119,1,"2018/12/21 16:00:00","2019/01/22 15:59:59"
1006,1,1005,1,1,2,bgm_M132,2,"2019/01/22 16:00:00","2019/02/19 04:59:59"
1007,2,1006,1,1,2,bgm_M139,1,"2019/02/19 05:00:00","2019/03/22 04:59:59"
1008,3,1007,1,1,2,bgm_M166,2,"2019/03/22 05:00:00","2019/04/22 04:59:59"
1009,4,1008,1,1,2,bgm_M175,1,"2019/04/22 05:00:00","2019/05/23 04:59:59"
1010,5,1009,1,1,2,bgm_M181,2,"2019/05/23 05:00:00","2019/06/22 04:59:59"
1011,6,1010,1,1,2,bgm_M186,1,"2019/06/22 05:00:00","2019/07/24 04:59:59"
1012,7,1011,1,1,2,bgm_M205,2,"2019/07/24 05:00:00","2019/08/23 04:59:59"
1013,8,1012,1,1,2,bgm_M90,1,"2019/08/23 05:00:00","2019/09/23 04:59:59"
1014,9,1013,1,1,2,bgm_M97,2,"2019/09/23 05:00:00","2019/10/24 04:59:59"
1015,10,1014,1,1,2,bgm_M104,1,"2019/10/24 05:00:00","2019/11/23 04:59:59"
1016,11,1015,1,1,2,bgm_M115,2,"2019/11/23 05:00:00","2019/12/23 04:59:59"
1017,12,1016,1,1,2,bgm_M119,1,"2019/12/23 05:00:00","2020/01/23 04:59:59"
1018,1,1017,1,1,2,bgm_M132,2,"2020/01/23 05:00:00","2020/02/24 04:59:59"
1019,2,1018,1,1,2,bgm_M139,1,"2020/02/24 05:00:00","2020/03/25 04:59:59"
1020,3,1019,1,1,2,bgm_M166,2,"2020/03/25 05:00:00","2020/04/24 04:59:59"
1021,4,1020,1,1,2,bgm_M175,1,"2020/04/24 05:00:00","2020/05/25 04:59:59"
1022,5,1021,1,1,2,bgm_M181,2,"2020/05/25 05:00:00","2020/06/24 04:59:59"
1023,6,1022,1,1,2,bgm_M186,1,"2020/06/24 05:00:00","2020/07/25 04:59:59"
1024,7,1023,1,1,2,bgm_M205,2,"2020/07/25 05:00:00","2020/08/25 04:59:59"
1025,8,1024,1,1,2,bgm_M90,1,"2020/08/25 05:00:00","2020/09/25 04:59:59"
1026,9,1025,1,1,2,bgm_M97,2,"2020/09/25 05:00:00","2020/10/26 04:59:59"
1027,10,1026,1,1,2,bgm_M104,1,"2020/10/26 05:00:00","2020/11/26 04:59:59"
