id,event_id,chara_index,dear_point,mission_detail,reward_type_1,reward_id_1,reward_count_1,reward_type_2,reward_id_2,reward_count_2,reward_type_3,reward_id_3,reward_count_3,reward_type_4,reward_id_4,reward_count_4,reward_type_5,reward_id_5,reward_count_5
1,10017,1,100,"讓信賴度達到100吧",12,94002,10000,0,0,0,0,0,0,0,0,0,0,0,0
2,10017,1,200,"讓信賴度達到200吧",12,94002,25000,0,0,0,0,0,0,0,0,0,0,0,0
3,10017,1,500,"讓信賴度達到500吧",8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
4,10017,1,800,"讓信賴度達到800吧",12,94002,50000,0,0,0,0,0,0,0,0,0,0,0,0
5,10017,1,1000,"讓信賴度達到MAX吧",8,91002,100,0,0,0,0,0,0,0,0,0,0,0,0
6,10017,2,100,"讓信賴度達到100吧",12,94002,10000,0,0,0,0,0,0,0,0,0,0,0,0
7,10017,2,200,"讓信賴度達到200吧",12,94002,25000,0,0,0,0,0,0,0,0,0,0,0,0
8,10017,2,500,"讓信賴度達到500吧",8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
9,10017,2,800,"讓信賴度達到800吧",12,94002,50000,0,0,0,0,0,0,0,0,0,0,0,0
10,10017,2,1000,"讓信賴度達到MAX吧",8,91002,100,0,0,0,0,0,0,0,0,0,0,0,0
11,10017,3,100,"讓信賴度達到100吧",12,94002,10000,0,0,0,0,0,0,0,0,0,0,0,0
12,10017,3,200,"讓信賴度達到200吧",12,94002,25000,0,0,0,0,0,0,0,0,0,0,0,0
13,10017,3,500,"讓信賴度達到500吧",8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
14,10017,3,800,"讓信賴度達到800吧",12,94002,50000,0,0,0,0,0,0,0,0,0,0,0,0
15,10017,3,1000,"讓信賴度達到MAX吧",8,91002,100,0,0,0,0,0,0,0,0,0,0,0,0
1001901,10043,1,100,"讓信賴度達到100吧",12,94002,15000,0,0,0,0,0,0,0,0,0,0,0,0
1001902,10043,1,200,"讓信賴度達到200吧",12,94002,37500,0,0,0,0,0,0,0,0,0,0,0,0
1001903,10043,1,500,"讓信賴度達到500吧",8,91002,75,0,0,0,0,0,0,0,0,0,0,0,0
1001904,10043,1,800,"讓信賴度達到800吧",12,94002,75000,0,0,0,0,0,0,0,0,0,0,0,0
1001905,10043,1,1000,"讓信賴度達到MAX吧",8,91002,150,0,0,0,0,0,0,0,0,0,0,0,0
1001906,10043,2,100,"讓信賴度達到100吧",12,94002,15000,0,0,0,0,0,0,0,0,0,0,0,0
1001907,10043,2,200,"讓信賴度達到200吧",12,94002,37500,0,0,0,0,0,0,0,0,0,0,0,0
1001908,10043,2,500,"讓信賴度達到500吧",8,91002,75,0,0,0,0,0,0,0,0,0,0,0,0
1001909,10043,2,800,"讓信賴度達到800吧",12,94002,75000,0,0,0,0,0,0,0,0,0,0,0,0
1001910,10043,2,1000,"讓信賴度達到MAX吧",8,91002,150,0,0,0,0,0,0,0,0,0,0,0,0
1002301,10023,1,100,"讓信賴度達到100吧",12,94002,10000,0,0,0,0,0,0,0,0,0,0,0,0
1002302,10023,1,200,"讓信賴度達到200吧",12,94002,25000,0,0,0,0,0,0,0,0,0,0,0,0
1002303,10023,1,500,"讓信賴度達到500吧",8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
1002304,10023,1,800,"讓信賴度達到800吧",12,94002,50000,0,0,0,0,0,0,0,0,0,0,0,0
1002305,10023,1,1000,"讓信賴度達到MAX吧",8,91002,100,0,0,0,0,0,0,0,0,0,0,0,0
1002306,10023,2,100,"讓信賴度達到100吧",12,94002,10000,0,0,0,0,0,0,0,0,0,0,0,0
1002307,10023,2,200,"讓信賴度達到200吧",12,94002,25000,0,0,0,0,0,0,0,0,0,0,0,0
1002308,10023,2,500,"讓信賴度達到500吧",8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
1002309,10023,2,800,"讓信賴度達到800吧",12,94002,50000,0,0,0,0,0,0,0,0,0,0,0,0
1002310,10023,2,1000,"讓信賴度達到MAX吧",8,91002,100,0,0,0,0,0,0,0,0,0,0,0,0
1002311,10023,3,100,"讓信賴度達到100吧",12,94002,10000,0,0,0,0,0,0,0,0,0,0,0,0
1002312,10023,3,200,"讓信賴度達到200吧",12,94002,25000,0,0,0,0,0,0,0,0,0,0,0,0
1002313,10023,3,500,"讓信賴度達到500吧",8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
1002314,10023,3,800,"讓信賴度達到800吧",12,94002,50000,0,0,0,0,0,0,0,0,0,0,0,0
1002315,10023,3,1000,"讓信賴度達到MAX吧",8,91002,100,0,0,0,0,0,0,0,0,0,0,0,0
1002501,10025,1,100,"讓信賴度達到100吧",12,94002,10000,0,0,0,0,0,0,0,0,0,0,0,0
1002502,10025,1,200,"讓信賴度達到200吧",12,94002,25000,0,0,0,0,0,0,0,0,0,0,0,0
1002503,10025,1,500,"讓信賴度達到500吧",8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
1002504,10025,1,800,"讓信賴度達到800吧",12,94002,50000,0,0,0,0,0,0,0,0,0,0,0,0
1002505,10025,1,1000,"讓信賴度達到MAX吧",8,91002,100,0,0,0,0,0,0,0,0,0,0,0,0
1002506,10025,2,100,"讓信賴度達到100吧",12,94002,10000,0,0,0,0,0,0,0,0,0,0,0,0
1002507,10025,2,200,"讓信賴度達到200吧",12,94002,25000,0,0,0,0,0,0,0,0,0,0,0,0
1002508,10025,2,500,"讓信賴度達到500吧",8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
1002509,10025,2,800,"讓信賴度達到800吧",12,94002,50000,0,0,0,0,0,0,0,0,0,0,0,0
1002510,10025,2,1000,"讓信賴度達到MAX吧",8,91002,100,0,0,0,0,0,0,0,0,0,0,0,0
1002511,10025,3,100,"讓信賴度達到100吧",12,94002,10000,0,0,0,0,0,0,0,0,0,0,0,0
1002512,10025,3,200,"讓信賴度達到200吧",12,94002,25000,0,0,0,0,0,0,0,0,0,0,0,0
1002513,10025,3,500,"讓信賴度達到500吧",8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
1002514,10025,3,800,"讓信賴度達到800吧",12,94002,50000,0,0,0,0,0,0,0,0,0,0,0,0
1002515,10025,3,1000,"讓信賴度達到MAX吧",8,91002,100,0,0,0,0,0,0,0,0,0,0,0,0
1002701,10027,1,100,"讓信賴度達到100吧",12,94002,10000,0,0,0,0,0,0,0,0,0,0,0,0
1002702,10027,1,200,"讓信賴度達到200吧",12,94002,25000,0,0,0,0,0,0,0,0,0,0,0,0
1002703,10027,1,500,"讓信賴度達到500吧",8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
1002704,10027,1,800,"讓信賴度達到800吧",12,94002,50000,0,0,0,0,0,0,0,0,0,0,0,0
1002705,10027,1,1000,"讓信賴度達到MAX吧",8,91002,100,0,0,0,0,0,0,0,0,0,0,0,0
1002706,10027,2,100,"讓信賴度達到100吧",12,94002,10000,0,0,0,0,0,0,0,0,0,0,0,0
1002707,10027,2,200,"讓信賴度達到200吧",12,94002,25000,0,0,0,0,0,0,0,0,0,0,0,0
1002708,10027,2,500,"讓信賴度達到500吧",8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
1002709,10027,2,800,"讓信賴度達到800吧",12,94002,50000,0,0,0,0,0,0,0,0,0,0,0,0
1002710,10027,2,1000,"讓信賴度達到MAX吧",8,91002,100,0,0,0,0,0,0,0,0,0,0,0,0
1002901,10029,1,100,"讓信賴度達到100吧",12,94002,10000,0,0,0,0,0,0,0,0,0,0,0,0
1002902,10029,1,200,"讓信賴度達到200吧",12,94002,25000,0,0,0,0,0,0,0,0,0,0,0,0
1002903,10029,1,500,"讓信賴度達到500吧",8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
1002904,10029,1,800,"讓信賴度達到800吧",12,94002,50000,0,0,0,0,0,0,0,0,0,0,0,0
1002905,10029,1,1000,"讓信賴度達到MAX吧",8,91002,100,0,0,0,0,0,0,0,0,0,0,0,0
1002906,10029,2,100,"讓信賴度達到100吧",12,94002,10000,0,0,0,0,0,0,0,0,0,0,0,0
1002907,10029,2,200,"讓信賴度達到200吧",12,94002,25000,0,0,0,0,0,0,0,0,0,0,0,0
1002908,10029,2,500,"讓信賴度達到500吧",8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
1002909,10029,2,800,"讓信賴度達到800吧",12,94002,50000,0,0,0,0,0,0,0,0,0,0,0,0
1002910,10029,2,1000,"讓信賴度達到MAX吧",8,91002,100,0,0,0,0,0,0,0,0,0,0,0,0
