event_id,system_name,tutorial_quest_id,tutorial_chara_index,tutorial_story_id
10053,"信賴度",10053102,1,6017101
10056,"信賴度",10056103,1,6056101
10060,"信賴度",10060103,1,6033201
10061,"信賴度",10061106,1,6061101
10065,"信賴度",10065103,1,6038101
10066,"信賴度",10066108,1,6066101
10067,"信賴度",10067103,1,6040101
10068,"信賴度",10068103,1,6068101
10069,"信賴度",10069103,1,6042101
10071,"信賴度",10071103,1,6044101
10075,"信賴度",10075103,1,6048101
10076,"信賴度",10076105,1,6076101
10077,"信賴度",10077103,1,6050106
10078,"信賴度",10078114,1,6078101
10079,"信賴度",10079103,1,6052101
10081,"信賴度",10081103,1,6054101
20015,"信賴度",0,1,0
20017,"信賴度",0,1,0
20018,"信賴度",0,1,0
20019,"信賴度",0,1,0
20020,"信賴度",0,1,0
