enemy_id,name,child_enemy_parameter_1,child_enemy_parameter_2,child_enemy_parameter_3,child_enemy_parameter_4,child_enemy_parameter_5
401021505,"野豬雙胞胎 第1階段",401021506,401021507,0,0,0
401021905,"大胃王 第1階段",401021906,401021907,401021908,0,0
401022105,"人馬座 第1階段",401022106,401022107,0,0,0
401022305,"水之里歐斯 第1階段",401022306,401022307,0,0,0
401025905,"大胃王 第1階段 單人模式",401025906,401025907,401025908,0,0
401026105,"人馬座 第1階段 單人模式",401026106,401026107,0,0,0
401026305,"水之里歐斯 第1階段 單人模式",401026306,401026307,0,0,0
401031505,"野豬雙胞胎 第2階段",401031506,401031507,0,0,0
401031905,"大胃王 第2階段",401031906,401031907,401031908,0,0
401032105,"人馬座 第2階段",401032106,401032107,0,0,0
401032305,"水之里歐斯 第2階段",401032306,401032307,0,0,0
401035905,"大胃王 第2階段 單人模式",401035906,401035907,401035908,0,0
401036105,"人馬座 第2階段 單人模式",401036106,401036107,0,0,0
401036305,"水之里歐斯 第2階段 單人模式",401036306,401036307,0,0,0
401041505,"野豬雙胞胎 第3階段",401041506,401041507,0,0,0
401041905,"大胃王 第3階段",401041906,401041907,401041908,0,0
401042105,"人馬座 第3階段",401042106,401042107,0,0,0
401042305,"水之里歐斯 第3階段",401042306,401042307,0,0,0
401045905,"大胃王 第3階段 單人模式",401045906,401045907,401045908,0,0
401046105,"人馬座 第3階段 單人模式",401046106,401046107,0,0,0
401046305,"水之里歐斯 第3階段 單人模式",401046306,401046307,0,0,0
401304104,"三重岩 第1階段",401304106,401304107,401304108,0,0
401304204,"三重岩 第2階段",401304206,401304207,401304208,0,0
401304304,"三重岩 第3階段",401304306,401304307,401304308,0,0
401304404,"三重岩 第4階段",401304406,401304407,401304408,0,0
401304504,"三重岩 第1階段 單人模式",401304506,401304507,401304508,0,0
401304604,"三重岩 第2階段 單人模式",401304606,401304607,401304608,0,0
401304704,"三重岩 第3階段 單人模式",401304706,401304707,401304708,0,0
401305105,"野豬雙胞胎 第1階段",401305106,401305107,0,0,0
401305205,"野豬雙胞胎 第2階段",401305206,401305207,0,0,0
401305305,"野豬雙胞胎 第3階段",401305306,401305307,0,0,0
401305405,"野豬雙胞胎 第4階段",401305406,401305407,0,0,0
401305505,"野豬雙胞胎 第1階段 單人模式",401305506,401305507,0,0,0
401305605,"野豬雙胞胎 第2階段 單人模式",401305606,401305607,0,0,0
401305705,"野豬雙胞胎 第3階段 單人模式",401305706,401305707,0,0,0
501010601,"最下級之龍",501010602,501010603,501010604,0,0
610017101,"貝特魯吉烏斯 NORMAL",610017102,610017103,610017104,0,0
610017201,"貝特魯吉烏斯 HARD",610017202,610017203,610017204,0,0
610017301,"貝特魯吉烏斯 VERY HARD",610017302,610017303,610017304,0,0
610017401,"貝特魯吉烏斯 SP1",610017411,610017412,610017413,0,0
610017402,"貝特魯吉烏斯 SP2",610017421,610017422,610017423,0,0
610017403,"貝特魯吉烏斯 SP3",610017431,610017432,610017433,0,0
610036101,"盆栽小花 NORMAL",610036102,610036103,610036104,0,0
610036201,"盆栽小花 HARD",610036202,610036203,610036204,0,0
610036301,"盆栽小花 VERY HARD",610036302,610036303,610036304,0,0
610036401,"盆栽小花 SP1",610036411,610036412,610036413,0,0
610036402,"盆栽小花 SP2",610036421,610036422,610036423,0,0
610036403,"盆栽小花 SP3",610036431,610036432,610036433,0,0
801100213,"霸瞳僕役（複合）",801100223,801100233,801100243,0,0
