gacha_id,event_id,gacha_name,item_type,item_id,cost,repeat_step
10001,10001,"初音禮物轉蛋",2,60002,1,5
10002,10002,"小小甜心大冒險",2,60012,1,5
10004,10004,"危險的假期！海岸邊的美食公主",2,60032,1,5
10005,10005,"珠希與美冬的無人島０盧幣生活",2,60042,1,5
10006,10006,"黑鐵的亡靈",2,60052,1,5
10007,10007,"不給布丁就搗蛋！約定的萬聖節派對",2,60062,1,5
10008,10008,"暮光破壞者",2,60072,1,5
10009,10009,"忘却的頌歌",2,60082,1,5
10010,10010,"新春破曉之星大危機！",2,60092,1,5
10011,10011,"情人節之戰！正中紅心的甜蜜戰鬥",2,60102,1,5
10012,10012,"王都的名偵探　嘆息的追緝者",2,60112,1,5
10013,10013,"在阿斯特朗盛開的雙輪之花",2,60122,1,5
10014,10014,"復刻 初音的禮物大作戰",2,60132,1,5
10015,10015,"將軍道中記　白翼的武士",2,60142,1,5
10016,10016,"復刻 小小甜心大冒險",2,60152,1,5
10017,10017,"Re:從零開始的異世界餐桌",2,60162,1,5
10018,10018,"復刻 吸血鬼獵人 with伊莉亞",2,60172,1,5
10019,10019,"鈴奈的彩虹舞臺！",2,60182,1,5
10020,10020,"復刻 危險的假期！海岸邊的美食公主",2,60192,1,5
10021,10021,"盛夏的真步真步王國 浪花拍岸的靈魂之夏！",2,60202,1,5
10022,10022,"復刻 珠希與美冬的無人島０盧幣生活",2,60212,1,5
10023,10023,"森林的膽小鬼與神聖學院的問題兒童",2,60222,1,5
10024,10024,"復刻 黑鐵的亡靈",2,60232,1,5
10025,10025,"小小勇敢的萬聖節之夜",2,60242,1,5
10026,10026,"復刻 不給布丁就搗蛋！約定的萬聖節派對",2,60252,1,5
10027,10027,"龍的探索者們",2,60262,1,5
10028,10028,"暮光破壞者",2,60272,1,5
10029,10029,"禮物大騷動！蘭德索爾的聖誕老人們",2,60282,1,5
10030,10030,"忘却的頌歌",2,60292,1,5
10031,10031,"狂奔！　蘭德索爾的公會競速賽",2,60302,1,5
10032,10032,"新春破曉之星大危機！",2,60312,1,5
10033,10033,"魔法少女　兩人是Misty&Purely",2,60322,1,5
10034,10034,"情人節之戰！正中紅心的甜蜜戰鬥",2,60332,1,5
10035,10035,"星光公主　Re:M@STER！",2,60342,1,5
10036,10036,"星光公主　Re:M@STER！",2,60342,1,5
10037,10037,"王都的名偵探　嘆息的追緝者",2,60362,1,5
10038,10038,"恩賜的財團與神聖學院的問題兒童",2,60372,1,5
10039,10039,"在阿斯特朗盛開的雙輪之花",2,60382,1,5
10040,10040,"牧場的四農士　貧窮農場奮鬥記",2,60392,1,5
10041,10041,"將軍道中記　白翼的武士",2,60402,1,5
10042,10042,"不可思議之國的璃乃　小小愛麗絲與希望的繪本",2,60412,1,5
10043,10043,"鈴奈的彩虹舞臺！",2,60422,1,5
19003,10003,"吸血鬼獵人 with伊莉亞",2,60022,1,5
