id,event_id,introduction_number,start_time,end_time,maximum_chunk_size_1,maximum_chunk_size_loop_1,maximum_chunk_size_2,maximum_chunk_size_loop_2,maximum_chunk_size_3,maximum_chunk_size_loop_3,sheet_id,que_id
1,10001,1,"2018/08/24 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M33,bgm_M33
2,10002,1,"2018/10/01 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M99,bgm_M99
3,10003,1,"2018/10/30 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M107,bgm_M107
4,10004,1,"2018/11/29 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M113,bgm_M113
5,10005,1,"2019/01/01 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M121,bgm_M121
6,10006,1,"2019/01/30 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M128,bgm_M128
7,10007,1,"2019/03/04 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M135,bgm_M135
8,10008,1,"2019/04/01 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M162,bgm_M162
9,10009,1,"2019/04/30 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M171,bgm_M171
10,10010,1,"2019/05/31 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M182,bgm_M182
11,10011,1,"2019/06/28 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M189,bgm_M189
12,10012,1,"2019/07/15 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M206,bgm_M206
13,10013,1,"2019/07/30 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M215,bgm_M215
14,10014,1,"2019/08/15 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M33,bgm_M33
15,10015,1,"2019/08/30 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M223,bgm_M223
16,10016,1,"2019/09/15 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M99,bgm_M99
17,10017,1,"2019/09/27 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,"",""
18,10018,1,"2019/10/15 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M107,bgm_M107
19,10019,1,"2019/10/30 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M237,bgm_M237
20,10020,1,"2019/11/15 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M113,bgm_M113
21,10021,1,"2019/11/29 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M245,bgm_M245
22,10022,1,"2019/12/15 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M121,bgm_M121
23,10023,1,"2019/12/31 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M254,bgm_M254
24,10024,1,"2020/01/14 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M128,bgm_M128
25,10025,1,"2020/01/31 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M265,bgm_M265_Top
26,10026,1,"2020/02/14 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M135,bgm_M135
27,10027,1,"2020/02/27 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M273,bgm_M273
28,10028,1,"2020/03/13 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M162,bgm_M162
29,10029,1,"2020/03/30 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M281,bgm_M281
30,10030,1,"2020/04/13 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M171,bgm_M171
31,10031,1,"2020/04/30 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M294,bgm_M294
32,10032,1,"2020/05/15 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M182,bgm_M182
33,10033,1,"2020/06/01 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M316,bgm_M316
34,10034,1,"2020/06/15 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M189,bgm_M189
35,10035,1,"2020/09/28 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M330,bgm_M330
36,10036,1,"2020/09/28 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M330,bgm_M330
37,10037,1,"2020/08/14 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M206,bgm_M206
38,10038,1,"2020/06/29 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M343,bgm_M343
39,10039,1,"2020/07/13 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M215,bgm_M215
40,10040,1,"2020/07/31 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M351,bgm_M351
41,10041,1,"2020/09/18 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M223,bgm_M223
42,10042,1,"2020/09/01 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M375,bgm_M375
43,10043,1,"2020/10/19 18:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M237,bgm_M237
20001,20001,1,"2020/07/02 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M33,bgm_M33
20002,20002,1,"2020/08/03 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M99,bgm_M99
20003,20003,1,"2020/09/04 16:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M107,bgm_M107
