comment_id,where_type,character_id,face_type,character_name,description,voice_id,start_time,end_time,pos_x,pos_y,change_face_time,change_face_type,event_id
53003,53,190801,1,"花凜","如果完成任務的話，\n就能夠獲得獎勵哦！\n請加油吧",1,"2018/01/31 12:00:00","2030/01/01 14:59:59",-416.5,0.0,3.414,2,0
53004,53,190801,1,"花凜","將任務完成，\n並獲得獎勵吧！",2,"2018/01/31 12:00:00","2030/01/01 14:59:59",-416.5,0.0,3.099,2,0
54003,54,190801,1,"花凜","似乎有能夠\n領取的獎勵了。\n請確認看看",3,"2018/01/31 12:00:00","2030/01/01 14:59:59",-416.5,0.0,2.801,2,0
54004,54,190801,2,"花凜","能夠領取獎勵了！\n請檢查看看",4,"2018/01/31 12:00:00","2030/01/01 14:59:59",-416.5,0.0,0.0,2,0
55003,55,190801,1,"花凜","這裡是公會管理協會！\n如果您持有討伐證的話，\n就能夠交換獎勵哦",1,"2018/01/31 12:00:00","2030/01/01 14:59:59",-363.0,0.0,5.506,2,0
55004,55,190801,2,"花凜","辛苦了！\n在這裡，能夠以討伐證\n來換取獎勵哦！",2,"2018/01/31 12:00:00","2030/01/01 14:59:59",-363.0,0.0,1.216,1,0
56003,56,190801,2,"花凜","辛苦了\n別忘記使用討伐證\n來進行交換哦！",3,"2018/01/31 12:00:00","2030/01/01 14:59:59",-363.0,0.0,1.539,1,0
56004,56,190801,2,"花凜","結束了呢─\n討伐證就是努力的證明！\n拿來換取獎勵吧！",4,"2018/01/31 12:00:00","2030/01/01 14:59:59",-363.0,0.0,1.875,1,0
57003,57,190801,1,"花凜","參加活動辛苦了！\n各位活躍的樣子\n我們始終非常感謝",5,"2018/01/31 12:00:00","2030/01/01 14:59:59",-416.5,0.0,0.0,1,0
10043001,53,190801,1,"花凜","如果完成任務的話，\n就能夠獲得獎勵哦！\n請加油吧",1,"2020/10/19 16:00:00","2020/10/28 15:59:59",-416.5,0.0,3.414,2,10043
10043002,53,190801,1,"花凜","將任務完成，\n並獲得獎勵吧！",2,"2020/10/19 16:00:00","2020/10/28 15:59:59",-416.5,0.0,3.099,2,10043
10043003,54,190801,1,"花凜","似乎有能夠\n領取的獎勵了，\n請確認看看。",3,"2020/10/19 16:00:00","2020/10/28 15:59:59",-416.5,0.0,2.801,2,10043
10043004,54,190801,2,"花凜","能夠領取獎勵了！\n請檢查看看",4,"2020/10/19 16:00:00","2020/10/28 15:59:59",-416.5,0.0,0.0,2,10043
10043005,57,190801,1,"花凜","參加活動辛苦了！\n各位活躍的樣子\n我們始終非常感謝",5,"2020/10/19 16:00:00","2020/10/28 15:59:59",-416.5,0.0,0.0,1,10043
10043101,51,110001,1,"鈴奈（夏日）","",101,"2020/10/19 16:00:00","2020/10/28 15:59:59",-285.0,0.0,6.75,2,10043
10043102,51,110101,2,"伊緒（夏日）","",201,"2020/10/19 16:00:00","2020/10/28 15:59:59",-285.0,0.0,0.0,2,10043
10043103,51,110201,2,"ミサキ（サマー）","",301,"2020/10/19 16:00:00","2020/10/28 15:59:59",-285.0,70.0,7.237,3,10043
10043104,51,110001,6,"鈴奈（夏日）","",102,"2020/10/19 16:00:00","2020/10/28 15:59:59",-285.0,0.0,5.017,4,10043
10043105,51,110101,2,"伊緒（夏日）","",202,"2020/10/19 16:00:00","2020/10/28 15:59:59",-285.0,0.0,4.802,1,10043
10043106,51,110201,2,"ミサキ（サマー）","",302,"2020/10/19 16:00:00","2020/10/28 15:59:59",-285.0,70.0,10.992,3,10043
10043107,51,110001,2,"鈴奈（夏日）","",103,"2020/10/19 16:00:00","2020/10/28 15:59:59",-285.0,0.0,0.0,2,10043
10043108,51,110101,1,"伊緒（夏日）","",203,"2020/10/19 16:00:00","2020/10/28 15:59:59",-285.0,0.0,3.047,2,10043
10043109,52,110001,2,"鈴奈（夏日）","",104,"2020/10/19 16:00:00","2020/10/28 15:59:59",-285.0,0.0,7.904,1,10043
10043110,52,110101,1,"伊緒（夏日）","",204,"2020/10/19 16:00:00","2020/10/28 15:59:59",-285.0,0.0,8.81,2,10043
10043111,52,110201,2,"ミサキ（サマー）","",304,"2020/10/19 16:00:00","2020/10/28 15:59:59",-285.0,70.0,6.65,1,10043
10043112,52,110001,1,"鈴奈（夏日）","",105,"2020/10/19 16:00:00","2020/10/28 15:59:59",-285.0,0.0,9.043,6,10043
10043113,52,110101,2,"伊緒（夏日）","",205,"2020/10/19 16:00:00","2020/10/28 15:59:59",-285.0,0.0,4.995,5,10043
10043114,52,110201,1,"ミサキ（サマー）","",305,"2020/10/19 16:00:00","2020/10/28 15:59:59",-285.0,70.0,11.657,2,10043
10043115,52,110001,2,"鈴奈（夏日）","",106,"2020/10/19 16:00:00","2020/10/28 15:59:59",-285.0,0.0,7.892,5,10043
10043116,52,110101,2,"伊緒（夏日）","",206,"2020/10/19 16:00:00","2020/10/28 15:59:59",-285.0,0.0,7.635,3,10043
10043117,52,110201,1,"ミサキ（サマー）","",306,"2020/10/19 16:00:00","2020/10/28 15:59:59",-285.0,70.0,9.858,2,10043
10044001,53,190801,1,"花凜","如果完成任務的話，\n就能夠獲得獎勵哦！\n請加油吧",1,"2020/11/02 16:00:00","2020/11/20 15:59:59",-416.5,0.0,3.414,2,10044
