comment_id,condition_type_1,condition_value_1,condition_type_2,condition_value_2,condition_type_3,condition_value_3
10042101,4,5042001,0,0,0,0
10042102,3,5042001,0,0,0,0
10042103,4,5042001,0,0,0,0
10042104,3,5042001,0,0,0,0
10042106,3,5042001,0,0,0,0
10042107,3,5042004,0,0,0,0
10042108,3,5042004,0,0,0,0
10042109,4,5042001,0,0,0,0
10042110,3,5042001,0,0,0,0
10042111,4,5042001,0,0,0,0
10042112,3,5042001,0,0,0,0
10042113,4,5042001,0,0,0,0
10042114,3,5042001,0,0,0,0
10042115,3,5042004,0,0,0,0
10042116,3,5042004,0,0,0,0
10042118,3,5042001,0,0,0,0
10042120,3,5042001,0,0,0,0
10042122,3,5042001,0,0,0,0
10042123,3,5042004,0,0,0,0
10042124,3,5042004,0,0,0,0
10042125,4,5042001,0,0,0,0
10042126,3,5042001,0,0,0,0
10042127,4,5042001,0,0,0,0
10042128,3,5042001,0,0,0,0
10042129,4,5042001,0,0,0,0
10042130,3,5042001,0,0,0,0
10042131,3,5042004,0,0,0,0
10042132,3,5042004,0,0,0,0
10042133,4,5042001,0,0,0,0
10042134,3,5042001,0,0,0,0
10042135,4,5042001,0,0,0,0
10042136,3,5042001,0,0,0,0
10042137,4,5042001,0,0,0,0
10042138,3,5042001,0,0,0,0
10042139,3,5042004,0,0,0,0
10042140,3,5042004,0,0,0,0
10042141,4,5042001,0,0,0,0
10042142,3,5042001,0,0,0,0
10042143,4,5042001,0,0,0,0
10042144,3,5042001,0,0,0,0
10042145,4,5042001,0,0,0,0
10042146,3,5042001,0,0,0,0
10042147,3,5042004,0,0,0,0
10042148,3,5042004,0,0,0,0
10044101,4,5044001,0,0,0,0
10044102,3,5044001,0,0,0,0
10044103,4,5044001,0,0,0,0
10044104,3,5044001,0,0,0,0
10044105,4,5044001,0,0,0,0
10044106,3,5044001,0,0,0,0
10044107,4,5044001,0,0,0,0
10044108,3,5044001,0,0,0,0
10044109,4,5044001,0,0,0,0
10044110,3,5044001,0,0,0,0
10044111,4,5044001,0,0,0,0
10044112,3,5044001,0,0,0,0
10044113,4,5044001,0,0,0,0
10044114,3,5044001,0,0,0,0
10044115,4,5044001,0,0,0,0
10044116,3,5044001,0,0,0,0
10044117,4,5044001,0,0,0,0
10044118,3,5044001,0,0,0,0
10044119,4,5044001,0,0,0,0
10044120,3,5044001,0,0,0,0
10044121,4,5044001,0,0,0,0
10044122,3,5044001,0,0,0,0
10044123,4,5044001,0,0,0,0
10044124,3,5044001,0,0,0,0
10044125,4,5044001,0,0,0,0
10044126,3,5044001,0,0,0,0
10044127,4,5044001,0,0,0,0
10044128,3,5044001,0,0,0,0
10044129,4,5044001,0,0,0,0
10044130,3,5044001,0,0,0,0
10044131,4,5044001,0,0,0,0
10044132,3,5044001,0,0,0,0
10044133,4,5044001,0,0,0,0
10044134,3,5044001,0,0,0,0
10044135,4,5044001,0,0,0,0
10044136,3,5044001,0,0,0,0
20003106,2,5003006,0,0,0,0
20003107,1,5003006,0,0,0,0
20003110,2,5003006,0,0,0,0
20003111,1,5003006,0,0,0,0
20003114,2,5003006,0,0,0,0
20003115,1,5003006,0,0,0,0
20003118,2,5003006,0,0,0,0
20003119,1,5003006,0,0,0,0
20003122,2,5003006,0,0,0,0
20003123,1,5003006,0,0,0,0
20003126,2,5003006,0,0,0,0
20003127,1,5003006,0,0,0,0
