id,event_id,type,description
1,10001,1,"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。"
2,10001,1,"進入活動冒險後，頭目將登場。\n使用頭目券，即可挑戰頭目。\n擊敗頭目將獲得大量的討伐證，所以請盡量挑戰吧。"
3,10001,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
4,10002,1,"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。"
5,10002,1,"進入活動冒險後，頭目將登場。\n使用頭目券，即可挑戰頭目。\n擊敗頭目將獲得大量的討伐證，所以請盡量挑戰吧。"
6,10002,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
7,10003,1,"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。"
8,10003,1,"進入活動冒險後，頭目將登場。\n使用頭目券，即可挑戰頭目。\n擊敗頭目將獲得大量的討伐證，所以請盡量挑戰吧。"
9,10003,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
10,10004,1,"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。"
11,10004,1,"達成活動限定的任務後，可解放的角色\n即會登場。在活動期間內\n以完成任務為目標吧。"
12,10004,1,"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。"
13,10004,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
14,10005,1,"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。"
15,10005,1,"達成活動限定的任務後，可解放的角色\n即會登場。在活動期間內\n以完成任務為目標吧。"
16,10005,1,"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。"
17,10005,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
18,10006,1,"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。"
19,10006,1,"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。"
20,10006,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
21,10007,1,"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。"
22,10007,1,"達成活動限定的任務後，可解放的角色\n即會登場。在活動期間內\n以完成任務為目標吧。"
23,10007,1,"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。"
24,10007,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
25,10008,1,"可透過活動，體驗特別的劇情。\n活動劇情會將於進入活動冒險後解放。"
26,10008,1,"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。"
27,10008,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
28,10009,1,"可透過活動，體驗特別的劇情。\n活動劇情會將於進入活動冒險後解放。"
29,10009,1,"達成活動限定的任務後，可解放的角色\n即會登場。在活動期間內\n以完成任務為目標吧。"
30,10009,1,"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。"
31,10009,1,"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。"
32,10010,1,"可透過活動，體驗特別的劇情。\n活動劇情會將於進入活動冒險後解放。"
33,10010,1,"達成活動限定的任務後，可解放的角色\n即會登場。在活動期間內\n以完成任務為目標吧。"
