area_id,event_id,area_name,map_type,sheet_id,que_id,start_time,end_time,area_disp,map_id,scroll_width,scroll_height,open_tutorial_id,tutorial_param_1,tutorial_param_2,additional_effect
10001101,10001,"塔爾格姆地區",201,bgm_M32,bgm_M32,"2018/08/28 16:00:00","2018/09/17 15:59:59",1,0,0,0,0,0,0,0
10001201,10001,"塔爾格姆地區",201,bgm_M32,bgm_M32,"2018/08/28 16:00:00","2018/09/17 15:59:59",1,0,0,0,0,0,0,0
10002101,10002,"馬席納地區",201,bgm_M98,bgm_M98_2,"2018/10/03 16:00:00","2018/10/24 15:59:59",1,0,0,0,0,0,0,0
10002201,10002,"馬席納地區",201,bgm_M98,bgm_M98_2,"2018/10/03 16:00:00","2018/10/24 15:59:59",1,0,0,0,0,0,0,0
10003101,10003,"蘭德索爾郊外",201,bgm_M106,bgm_M106,"2018/11/01 15:59:59","2018/11/20 15:59:59",1,0,0,0,0,0,0,0
10003201,10003,"蘭德索爾郊外",201,bgm_M106,bgm_M106,"2018/11/01 15:59:59","2018/11/20 15:59:59",1,0,0,0,0,0,0,0
10004101,10004,"塔帕斯海灘 周邊",201,bgm_M112,bgm_M112,"2018/12/01 16:00:00","2018/12/20 15:59:59",1,0,0,0,0,0,0,0
10004201,10004,"塔帕斯海灘 周邊",201,bgm_M112,bgm_M112,"2018/12/01 16:00:00","2018/12/20 15:59:59",1,0,0,0,0,0,0,0
10005101,10005,"伊爾席翁的孤島",201,bgm_M121,bgm_M121,"2019/01/03 16:00:00","2019/01/22 15:59:59",1,0,0,0,0,0,0,0
10005201,10005,"伊爾席翁的孤島",201,bgm_M121,bgm_M121,"2019/01/03 16:00:00","2019/01/22 15:59:59",1,0,0,0,0,0,0,0
10006101,10006,"王城蘭德索爾",201,bgm_M128,bgm_M128,"2019/02/01 12:00:00","2019/02/19 15:59:59",1,0,0,0,0,0,0,0
10006201,10006,"王城蘭德索爾",201,bgm_M128,bgm_M128,"2019/02/01 12:00:00","2019/02/19 15:59:59",1,0,0,0,0,0,0,0
10007101,10007,"蘭德索爾郊外",201,bgm_M135,bgm_M135,"2019/03/06 16:00:00","2019/03/25 15:59:59",1,1,0,0,0,0,0,0
10007102,10007,"靈界",201,bgm_M29,bgm_M29,"2019/03/06 16:00:00","2019/03/25 15:59:59",1,2,0,80,1,202,208,0
10007103,10007,"蘭德索爾中央地區",201,bgm_M135,bgm_M135,"2019/03/06 16:00:00","2019/03/25 15:59:59",1,3,0,0,1,202,209,1
10007201,10007,"蘭德索爾郊外",201,bgm_M135,bgm_M135,"2019/03/06 16:00:00","2019/03/25 15:59:59",1,1,0,0,0,0,0,1
10008101,10008,"蘭德索爾近郊",201,bgm_M162,bgm_M162,"2019/04/03 16:00:00","2019/04/17 15:59:59",1,0,35,0,0,0,0,0
10008201,10008,"蘭德索爾近郊",201,bgm_M162,bgm_M162,"2019/04/03 16:00:00","2019/04/17 15:59:59",1,0,0,0,0,0,0,0
10009101,10009,"咲戀育幼院",201,bgm_M171,bgm_M171,"2019/05/02 16:00:00","2019/05/16 15:59:59",1,1,110,0,0,0,0,11
10009201,10009,"王城蘭德索爾",201,bgm_M171,bgm_M171,"2019/05/02 16:00:00","2019/05/16 15:59:59",1,1,0,0,0,0,0,0
10010101,10010,"往神殿的參道",201,bgm_M182,bgm_M182,"2019/06/03 16:00:00","2019/06/17 15:59:59",1,1,1,180,0,0,0,0
10010201,10010,"往神殿的參道",201,bgm_M182,bgm_M182,"2019/06/03 16:00:00","2019/06/17 15:59:59",1,1,0,0,0,0,0,0
10011101,10011,"王城蘭德索爾",201,bgm_M189,bgm_M189,"2019/07/01 16:00:00","2019/07/15 15:59:59",1,1,0,0,0,0,0,0
10011102,10011,"廚房競技場",201,bgm_M189,bgm_M189,"2019/07/01 16:00:00","2019/07/15 15:59:59",1,2,110,0,0,0,0,0
10011201,10011,"廚房競技場",201,bgm_M189,bgm_M189,"2019/07/01 16:00:00","2019/07/15 15:59:59",1,1,0,0,0,0,0,0
10012101,10012,"王城蘭德索爾",201,bgm_M206,bgm_M206,"2019/07/17 16:00:00","2019/07/31 15:59:59",1,1,115,0,0,0,0,0
10012201,10012,"王城蘭德索爾",201,bgm_M206,bgm_M206,"2019/07/17 16:00:00","2019/07/31 15:59:59",1,1,0,0,0,0,0,0
10013101,10013,"加托羅斯山",201,bgm_M215,bgm_M215,"2019/08/01 16:00:00","2019/08/15 15:59:59",1,1,110,0,0,0,0,0
10013102,10013,"光之裂縫",201,bgm_M215,bgm_M215,"2019/08/01 16:00:00","2019/08/15 15:59:59",1,2,0,0,1,202,208,11
