event_id,teaser_time,start_time,end_time,close_time,background,sheet_id,que_id,banner_unit_id,count_start_time,backgroud_size_x,backgroud_size_y,backgroud_pos_x,backgroud_pos_y,original_event_id,series_event_id
10001,"2018/08/24 16:00:00","2018/08/28 16:00:00","2018/09/17 15:59:59","2018/09/19 15:59:59",500213,bgm_M32,bgm_M32,0,"2018/09/12 15:59:59",1768,1060,60,50,0,0
10002,"2018/10/01 16:00:00","2018/10/03 16:00:00","2018/10/24 15:59:59","2018/10/28 15:59:59",500193,bgm_M98,bgm_M98,103601,"2018/10/19 15:59:59",1768,1060,60,50,0,0
10003,"2018/10/30 16:00:00","2018/11/01 15:59:59","2018/11/20 15:59:59","2018/11/25 15:59:59",500263,bgm_M106,bgm_M106,104401,"2018/11/15 15:59:59",1768,1060,60,50,0,0
10004,"2018/11/29 16:00:00","2018/12/01 16:00:00","2018/12/20 15:59:59","2018/12/24 15:59:59",500164,bgm_M112,bgm_M112,107601,"2018/12/15 15:59:59",1768,1060,60,50,0,0
10005,"2019/01/01 16:00:00","2019/01/03 16:00:00","2019/01/22 15:59:59","2019/01/25 15:59:59",500284,bgm_M121,bgm_M121,907901,"2019/01/17 15:59:59",1768,1060,60,50,0,0
10006,"2019/01/30 16:00:00","2019/02/01 12:00:00","2019/02/19 15:59:59","2019/02/22 15:59:59",500096,bgm_M128,bgm_M128,104701,"2019/02/16 15:59:59",1768,1060,60,50,0,0
10007,"2019/03/04 16:00:00","2019/03/06 16:00:00","2019/03/25 15:59:59","2019/03/28 15:59:59",500264,bgm_M135,bgm_M135,108201,"2019/03/22 15:59:59",1768,1060,60,50,0,0
10008,"2019/04/01 16:00:00","2019/04/03 16:00:00","2019/04/17 15:59:59","2019/04/21 15:59:59",500143,bgm_M162,bgm_M162,100901,"2019/04/14 15:59:59",1768,1060,60,50,0,0
10009,"2019/04/30 16:00:00","2019/05/02 16:00:00","2019/05/16 15:59:59","2019/05/19 15:59:59",500114,bgm_M171,bgm_M171,108501,"2019/05/13 15:59:59",1768,1060,60,50,0,0
10010,"2019/05/31 16:00:00","2019/06/03 16:00:00","2019/06/17 15:59:59","2019/06/21 15:59:59",500553,bgm_M182,bgm_M182,108901,"2019/06/14 15:59:59",1768,1060,60,50,0,0
10011,"2019/06/28 16:00:00","2019/07/01 16:00:00","2019/07/15 15:59:59","2019/07/18 15:59:59",500600,bgm_M189,bgm_M189,109001,"2019/07/12 15:59:59",1768,1060,60,50,0,0
