item_id,item_name,description,promotion_level,item_type,value,price,limit_num,gojuon_order,start_time,end_time
20001,"小型 EXP 藥水","用來強化角色的 Lv，使用後增加 60 的 EXP。",1,1,60,80,99999,0,"2015/12/17 15:00:00","2030/08/01 14:59:59"
20002,"普通 EXP 藥水","用來強化角色的 Lv，使用後增加 300 的 EXP。",2,1,300,400,99999,0,"2015/12/17 15:00:00","2030/08/01 14:59:59"
20003,"高劑量 EXP 藥水","用來強化角色的 Lv，使用後增加 1500 的 EXP。",3,1,1500,2000,99999,0,"2015/12/17 15:00:00","2030/08/01 14:59:59"
20004,"特級 EXP 藥水","用來強化角色的 Lv，使用後增加 7500 的 EXP。",4,1,7500,10000,99999,0,"2015/12/17 15:00:00","2030/08/01 14:59:59"
22001,"精煉石","用來強化角色裝備，使用後增加 10 點裝備強化值。",1,3,10,120,9999,0,"2015/12/17 15:00:00","2030/08/01 14:59:59"
22002,"上級精煉石","用來強化角色裝備，使用後增加 60 點裝備強化值。",2,3,60,720,9999,0,"2015/12/17 15:00:00","2030/08/01 14:59:59"
22003,"精練結晶","用來強化角色裝備，使用後增加 200 點裝備強化值。",3,3,200,2400,9999,0,"2015/12/17 15:00:00","2030/08/01 14:59:59"
23001,"掃蕩券","使用於已獲得通關 Rank★3 的冒險時，能夠直接略過戰鬥時間的票券。",1,5,0,0,99999,0,"2015/12/17 15:00:00","2030/08/01 14:59:59"
24001,"白金轉蛋券","可以玩 1 次白金轉蛋或精選轉蛋的轉蛋券。",1,8,0,0,999,0,"2015/12/17 15:00:00","2030/08/01 14:59:59"
24003,"共鬥券","可使共鬥通關的獎勵變得豪華的票券。",1,10,0,0,999,0,"2015/12/17 15:00:00","2030/08/01 14:59:59"
24004,"白金10連轉蛋券","可以玩 10 次白金轉蛋或精選轉蛋的轉蛋券。",1,8,0,0,999,0,"2015/12/17 15:00:00","2030/08/01 14:59:59"
25001,"公主寶珠","喚醒角色所潛藏極大力量的道具。",1,20,0,0,9999,0,"2020/01/02 16:00:00","2030/08/01 14:59:59"
26101,"露娜幣","只有挑戰過露娜之塔的人可以獲得，阿斯特朗的商店內並不流通的珍稀錢幣。",1,9,0,0,999,0,"2015/12/17 15:00:00","2030/08/01 14:59:59"
27001,"特別交換券","可以交換特定角色的券。",1,17,0,0,999,0,"2020/06/22 16:00:00","2030/08/01 14:59:59"
27002,"特別交換券","可以交換特定角色的券。",1,17,0,0,999,0,"2020/08/03 16:00:00","2030/08/01 14:59:59"
31001,"日和的記憶碎片","封印有日和的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31001,0,9999,5174112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31002,"優衣的記憶碎片","封印有優衣的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31002,0,9999,7201112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31003,"怜的記憶碎片","封印有怜的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31003,0,9999,8301112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31004,"禊的記憶碎片","封印有禊的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31004,0,9999,6124112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31005,"茉莉的記憶碎片","封印有茉莉的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31005,0,9999,6032112,"2019/01/22 16:00:00","2030/08/01 14:59:59"
31006,"茜里的記憶碎片","封印有茜里的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31006,0,9999,10112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31007,"宮子的記憶碎片","封印有宮子的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31007,0,9999,6170112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31008,"雪的記憶碎片","封印有雪的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31008,0,9999,7211112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31009,"杏奈的記憶碎片","封印有杏奈的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31009,0,9999,94212,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31010,"真步的記憶碎片","封印有真步的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31010,0,9999,6054112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31011,"璃乃的記憶碎片","封印有璃乃的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31011,0,9999,8144112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31012,"初音的記憶碎片","封印有初音的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31012,0,9999,5032112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31013,"七七香的記憶碎片","封印有七七香的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31013,0,9999,4040112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31014,"霞的記憶碎片","封印有霞的記憶碎片的道具。收集一定數量，則可以解放角色深藏的力量。",1,11,31014,0,9999,1022112,"2019/07/15 16:00:00","2030/08/01 14:59:59"
31015,"美里的記憶碎片","封印有美里的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31015,0,9999,6120212,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31016,"鈴奈的記憶碎片","封印有鈴奈的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31016,0,9999,2222112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31017,"香織的記憶碎片","封印有香織的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31017,0,9999,1004112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31018,"伊緒的記憶碎片","封印有伊緒的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31018,0,9999,104112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31020,"美美的記憶碎片","封印有美美的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31020,0,9999,6161112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31021,"胡桃的記憶碎片","封印有胡桃的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31021,0,9999,1282112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31022,"依里的記憶碎片","封印有依里的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31022,0,9999,7481112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31023,"綾音的記憶碎片","封印有綾音的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31023,0,9999,64112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31025,"鈴莓的記憶碎片","封印有鈴莓的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31025,0,9999,2222212,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31026,"鈴的記憶碎片","封印有鈴的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31026,0,9999,8194112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31027,"惠理子的記憶碎片","封印有惠理子的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31027,0,9999,381112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31028,"咲戀的記憶碎片","封印有咲戀的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31028,0,9999,2083112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31029,"望的記憶碎片","封印有望的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31029,0,9999,4424112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31030,"妮諾的記憶碎片","封印有妮諾的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31030,0,9999,4144112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31031,"忍的記憶碎片","封印有忍的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31031,0,9999,2144112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31032,"秋乃的記憶碎片","封印有秋乃的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31032,0,9999,11112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31033,"真陽的記憶碎片","封印有真陽的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31033,0,9999,6051112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31034,"優花梨的記憶碎片","封印有優花梨的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31034,0,9999,7210112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31036,"鏡華的記憶碎片","封印有鏡華的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31036,0,9999,1174112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31037,"智的記憶碎片","封印有智的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31037,0,9999,3464112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31038,"栞的記憶碎片","封印有栞的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31038,0,9999,2104112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31040,"碧的記憶碎片","封印有碧的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31040,0,9999,4112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31042,"千歌的記憶碎片","封印有千歌的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31042,0,9999,3110112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31043,"真琴的記憶碎片","封印有真琴的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31043,0,9999,6014112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31044,"伊莉亞的記憶碎片","封印有伊莉亞的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31044,0,9999,171112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31045,"空花的記憶碎片","封印有空花的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31045,0,9999,1202112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31046,"珠希的記憶碎片","封印有珠希的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31046,0,9999,3060112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31047,"純的記憶碎片","封印有純的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31047,0,9999,2172112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31048,"美冬的記憶碎片","封印有美冬的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31048,0,9999,6152112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31049,"靜流的記憶碎片","封印有靜流的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31049,0,9999,2122112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31050,"美咲的記憶碎片","封印有美咲的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31050,0,9999,6120112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31051,"深月的記憶碎片","封印有深月的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31051,0,9999,6132112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31052,"莉瑪的記憶碎片","封印有莉瑪的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31052,0,9999,8160112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31053,"莫妮卡的記憶碎片","封印有莫妮卡的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31053,0,9999,6441112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31054,"紡希的記憶碎片","封印有紡希的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31054,0,9999,3262112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31055,"步未的記憶碎片","封印有步未的記憶碎片的道具。收集一定數量，則可以解放角色深藏的力量。",1,11,31055,0,9999,72112,"2019/07/26 16:00:00","2030/08/01 14:59:59"
31056,"流夏的記憶碎片","封印有流夏的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31056,0,9999,8210112,"2019/03/13 16:00:00","2030/08/01 14:59:59"
31057,"吉塔的記憶碎片","封印有吉塔的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31057,0,9999,2101112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
31058,"貪吃佩可的記憶碎片","封印有貪吃佩可的記憶碎片的道具。需要一定的數量才能解放角色秘藏的力量。",1,11,31058,0,9999,5414112,"2015/12/17 15:00:00","2030/08/01 14:59:59"
