id,login_bonus_id,start_time,end_time,count_key,adv_id,read_process_flag
21,70004,"2021/04/23 05:00:00","2021/04/25 04:59:59",0,400,0
22,70004,"2021/04/23 05:00:00","2021/04/25 04:59:59",0,401,0
23,70005,0,0,1,416,0
24,70005,0,0,2,417,0
25,70005,0,0,3,418,0
26,80004,"2021/07/17 05:00:00","2021/07/18 04:59:59",3,9002001,0
27,80004,"2021/07/18 05:00:00","2021/07/19 04:59:59",3,9002002,0
28,80004,"2021/07/19 05:00:00","2021/07/20 04:59:59",3,9002003,0
29,80004,"2021/07/20 05:00:00","2021/07/21 04:59:59",3,9002004,0
30,80004,"2021/07/21 05:00:00","2021/07/22 04:59:59",3,9002005,0
31,80004,"2021/07/22 05:00:00","2021/07/23 04:59:59",3,9002006,0
32,80004,"2021/07/23 05:00:00","2021/07/24 04:59:59",3,9002007,0
33,80004,"2021/07/24 05:00:00","2021/07/25 04:59:59",3,9002008,0
34,80004,"2021/07/25 05:00:00","2021/07/26 04:59:59",3,9002009,0
35,80004,"2021/07/26 05:00:00","2021/07/27 04:59:59",3,9002010,0
36,80004,"2021/07/27 05:00:00","2021/07/28 04:59:59",3,9002011,0
37,80004,"2021/07/28 05:00:00","2021/07/29 04:59:59",3,9002012,0
38,80004,"2021/07/29 05:00:00","2021/07/30 04:59:59",3,9002013,0
39,80004,"2021/07/30 05:00:00","2021/07/31 04:59:59",3,9002014,0
40,80004,"2021/07/31 05:00:00","2021/08/01 04:59:59",3,9002015,0
41,80004,"2021/08/01 05:00:00","2021/08/02 04:59:59",3,9002016,0
42,80004,"2021/08/02 05:00:00","2021/08/03 04:59:59",3,9002017,1
