login_bonus_id,name,login_bonus_type,count_num,start_time,end_time,bg_id,stamp_id,odds_group_id,adv_play_type,count_type
20000,"新手衝刺登入活動",2,10,"2016/09/01 15:00:00","2099/01/01 23:59:00",530100,0,0,0,0
30000,"登入獎勵",3,15,"2016/04/01 15:00:00","2099/01/01 23:59:00",0,0,0,0,0
40001,"半周年紀念登入活動",4,10,"2019/01/30 05:00:00","2019/02/14 04:59:59",500160,1,0,0,0
49001,"巴哈姆特金賞紀念登入獎勵",4,10,"2019/04/04 05:00:00","2019/04/19 04:59:59",500160,0,0,0,0
49002,"暑期繽紛登入獎",4,10,"2019/07/01 05:00:00","2019/07/15 04:59:00",500160,0,0,0,0
49003,"1周年倒數登入獎勵",4,10,"2019/07/17 05:00:00","2019/08/01 04:59:00",500160,0,0,0,0
49004,"真步真步王國開服一周年紀念",4,8,"2019/12/16 05:00:00","2019/12/31 04:59:00",500160,0,0,0,0
49005,"迎接1.5周年紀念",4,10,"2020/01/10 05:00:00","2020/01/21 15:59:00",500160,0,0,0,0
49006,"春節小禮物",4,5,"2020/04/01 05:00:00","2020/04/06 04:59:59",500160,0,0,0,0
49007,"動畫播放紀念禮物",4,10,"2020/04/06 05:00:00","2020/04/16 04:59:59",40006,0,0,0,0
49008,"2周年紀念登入獎勵（前半）",4,10,"2020/08/03 05:00:00","2020/08/18 04:59:59",80002,4,0,0,0
49009,"2周年紀念登入獎勵（後半）",4,10,"2020/08/18 05:00:00","2020/08/31 04:59:59",80002,4,0,0,0
49010,"感謝的禮物-每日登入獎勵寶石",4,10,"2020/11/02 05:00:00","2020/11/15 04:59:00",500160,0,0,0,0
60000,"公主祭典紀念登入抽籤",6,7,"2019/05/07 05:00:00","2019/05/17 04:59:59",500160,0,1,0,0
60001,"謹賀新年 新年登入獎勵",6,7,"2020/05/05 05:00:00","2020/05/15 04:59:59",500553,0,1,0,0
