id,quest_id,level_from,max_to,wave_group_id_1,wave_group_id_2,wave_group_id_3
1,18001001,1,59,180010111,180010112,180010113
2,18001001,60,99,180010211,180010212,180010213
3,18001001,100,119,180010311,180010312,180010313
4,18001001,120,139,180010411,180010412,180010413
5,18001001,140,-1,180010511,180010512,180010513
9,18001002,1,59,180010121,180010122,180010123
10,18001002,60,99,180010221,180010222,180010223
11,18001002,100,119,180010321,180010322,180010323
12,18001002,120,139,180010421,180010422,180010423
13,18001002,140,-1,180010521,180010522,180010523
1001,19001001,1,59,190010111,190010112,190010113
1002,19001001,60,99,190010211,190010212,190010213
1003,19001001,100,119,190010311,190010312,190010313
1004,19001001,120,139,190010411,190010412,190010413
1005,19001001,140,-1,190010511,190010512,190010513
1009,19001002,1,59,190010121,190010122,190010123
1010,19001002,60,99,190010221,190010222,190010223
1011,19001002,100,119,190010321,190010322,190010323
1012,19001002,120,139,190010421,190010422,190010423
1013,19001002,140,-1,190010521,190010522,190010523
