id,mission_reward_id,reward_type,reward_id,reward_num
1,18001001,6,93001,100
2,18001002,6,93001,100
3,11001001,5,0,30
4,11001001,12,94002,30000
5,11001001,8,91002,10
6,11003001,5,0,40
7,11003001,2,20002,2
8,11003001,8,91002,10
9,13002001,5,0,20
10,18004001,5,0,20
11,16006001,5,0,25
12,16007001,5,0,25
13,16007001,2,22001,3
14,11004001,5,0,30
15,11004001,2,20002,2
16,11004001,2,90007,500
17,11005001,5,0,40
18,11005001,12,94002,30000
19,11005001,2,90007,500
20,11006001,5,0,30
21,11006001,2,20003,2
22,15004001,5,0,30
23,15004001,2,90007,100
24,14001001,5,0,40
25,14001001,12,94002,80000
26,14001001,2,20003,2
27,14003001,5,0,50
28,14003001,12,94002,140000
29,14003001,2,22002,4
30,21001001,8,91002,30
31,21001001,12,94002,2000
33,21001002,8,91002,30
34,21001002,2,22001,2
36,21001003,8,91002,30
37,21001003,2,22002,1
39,21001004,8,91002,30
40,21001004,2,22003,1
42,21002001,8,91002,60
43,21002001,12,94002,4000
45,21002002,8,91002,60
46,21002002,2,22001,4
48,21002003,8,91002,60
49,21002003,2,22002,2
51,21002004,8,91002,60
52,21002004,2,22003,2
54,21003001,8,91002,50
55,28002001,8,91002,100
56,28002001,2,90007,1000
57,28002002,8,91002,100
58,28002002,2,90007,1500
59,28002003,8,91002,100
60,28002003,2,90007,1500
61,28002004,8,91002,100
62,28002004,2,90007,1500
63,28002005,8,91002,100
64,28002005,2,90007,1500
65,28002006,8,91002,100
66,28002006,2,90007,1500
67,28002007,8,91002,100
68,28002007,2,90007,1500
69,28002008,8,91002,100
70,28002008,2,90007,1500
71,28002009,8,91002,100
72,28002009,2,90007,1500
73,28002010,8,91002,100
74,28002010,2,90007,1500
75,28002011,8,91002,100
76,28002011,2,90007,1500
77,28002012,8,91002,100
78,28002012,2,90007,1500
79,28002013,8,91002,100
80,28002013,2,90007,1500
81,28002014,8,91002,100
82,28002014,2,90007,1500
83,26001001,8,91002,30
84,26003001,8,91002,50
85,26008001,8,91002,50
86,24002001,8,91002,50
87,24004001,8,91002,50
88,21005001,8,91002,100
89,21005002,8,91002,100
90,21005003,8,91002,100
91,21005004,8,91002,100
92,21005005,8,91002,100
93,21005006,8,91002,100
94,26002001,8,91002,50
95,26002002,8,91002,50
96,26002003,8,91002,50
97,26002004,8,91002,50
98,26002005,8,91002,50
99,26002006,8,91002,50
100,26002007,8,91002,50
101,26002008,8,91002,50
102,26002009,8,91002,50
103,26002010,8,91002,50
104,26005001,8,91002,100
105,26005002,8,91002,100
106,21007001,8,91002,50
108,28006001,8,91002,1000
109,28005001,5,0,20
110,28005001,2,20001,10
111,15005001,12,94002,1500
112,18001003,6,93001,200
113,18001004,6,93001,200
114,11101001,5,0,20
115,11101001,2,20003,2
116,21102001,8,91002,50
117,21103001,8,91002,100
121,11001002,5,0,30
122,11001002,12,94002,30000
123,11001002,2,23001,6
124,28007001,6,93001,100
125,28007002,6,93001,100
126,28007003,6,93001,100
127,26013001,8,91002,30
128,26014001,8,91002,50
129,21011001,8,91002,80
130,21011001,2,22003,2
131,26015001,8,91002,50
132,26015002,8,91002,10
133,21102002,8,91002,100
134,28002015,8,91002,400
135,28002015,12,94002,500000
136,28002015,2,90007,1500
137,28002016,8,91002,400
138,28002016,12,94002,500000
139,28002016,2,90007,1500
140,28002017,8,91002,400
141,28002017,12,94002,3000000
142,28002017,2,90007,1500
143,28002018,8,91002,600
144,28002018,12,94002,3000000
145,28002018,2,90007,1500
146,28002019,8,91002,600
147,28002019,12,94002,3000000
148,28002019,2,90007,1500
149,28002020,8,91002,600
150,28002020,12,94002,5000000
151,28002020,2,90007,1500
152,28002021,8,91002,600
153,28002021,12,94002,5000000
154,28002021,2,90007,1500
155,28002022,8,91002,600
156,28002022,12,94002,5000000
157,28002022,2,90007,1500
158,28002023,8,91002,600
159,28002023,12,94002,5000000
160,28002023,2,90007,1500
161,28002024,8,91002,600
162,28002024,12,94002,5000000
163,28002024,2,90007,1500
164,28002025,8,91002,1100
165,28002025,12,94002,7500000
166,28002025,2,90007,1500
167,28002026,8,91002,1100
168,28002026,12,94002,7500000
169,28002026,2,90007,1500
170,28002027,8,91002,1100
171,28002027,12,94002,7500000
172,28002027,2,90007,1500
173,28002028,8,91002,1100
174,28002028,12,94002,10000000
175,28002028,2,90007,1500
176,28002029,8,91002,1100
177,28002029,12,94002,10000000
178,28002029,2,90007,1500
179,28002030,8,91002,1100
180,28002030,12,94002,10000000
181,28002030,2,90007,1500
182,26003002,8,91002,50
183,26003002,12,94002,10000
184,26003003,8,91002,50
185,26003003,12,94002,10000
186,26003004,8,91002,50
187,26003004,12,94002,10000
188,26003005,8,91002,50
189,26003005,12,94002,50000
190,26003006,8,91002,50
191,26003006,12,94002,50000
192,26003007,8,91002,50
193,26003007,12,94002,100000
194,26003008,8,91002,50
195,26003008,12,94002,100000
196,26003009,8,91002,50
197,26003009,12,94002,100000
198,26003010,8,91002,50
199,26003010,12,94002,100000
200,26003011,8,91002,50
201,26003011,12,94002,200000
202,26003012,8,91002,50
203,26003012,12,94002,200000
204,26003013,8,91002,50
205,26003013,12,94002,200000
206,26003014,8,91002,50
207,26003014,12,94002,500000
208,26003015,8,91002,50
209,26003015,12,94002,500000
210,26003016,8,91002,50
211,26003016,12,94002,500000
212,26003017,8,91002,50
213,26003017,12,94002,500000
214,26003018,8,91002,50
215,26003018,12,94002,500000
216,26002011,8,91002,350
217,26002012,8,91002,350
218,26002013,8,91002,350
219,26002014,8,91002,350
220,26002015,8,91002,550
221,26002016,8,91002,550
222,26002017,8,91002,550
223,26002018,8,91002,550
224,26002019,8,91002,550
225,26002020,8,91002,800
226,26002021,8,91002,800
227,26002022,8,91002,800
228,28012001,5,0,100
229,28012001,12,94002,100000
230,27004001,5,0,100
231,27004001,12,94002,100000
232,27004002,5,0,100
233,27004002,12,94002,100000
10001,20904001,2,31071,10
10002,20904002,2,31071,20
10003,20904003,2,31071,30
10004,20904004,2,31071,40
10005,20904005,2,90005,200
10006,20904006,2,31071,100
10007,20904007,2,31071,135
10008,20903001,2,90005,25
10009,20903002,2,90005,25
10010,20903003,2,90005,25
10011,20903004,2,90005,25
10012,20903005,2,31071,150
10013,20905001,8,91002,15000
10014,20903006,2,90005,25
10015,20903007,2,90005,25
10016,20903008,2,90005,25
10017,20903009,2,31081,150
10018,20904008,2,31081,10
10019,20904009,2,31081,20
10020,20904010,2,31081,30
10021,20904011,2,31081,40
10022,20904012,2,31081,50
10023,20904013,2,90005,200
10024,20904014,2,31083,10
10025,20904015,2,31083,20
10026,20904016,2,31083,30
10027,20904017,2,31083,40
10028,20904018,2,31083,50
10029,20904019,2,90005,200
10030,20903010,2,90005,25
10031,20903011,2,90005,25
10032,20903012,2,90005,25
10033,20903013,2,31083,150
10034,20903014,2,31056,150
10035,20904020,2,31056,10
10036,20904021,2,31056,20
10037,20904022,2,31056,30
10038,20904023,2,31056,40
10039,20904024,2,31056,50
10040,20903015,2,31084,150
10041,20904025,2,31084,10
10042,20904026,2,31084,20
10043,20904027,2,31084,30
10044,20904028,2,31084,40
10045,20904029,2,31084,50
10046,20904030,2,20004,30
10047,20904031,6,93001,900
10048,20904032,12,94002,3000000
10049,20904033,4,140001,30
10050,20904034,2,90005,50
10051,20903016,2,31086,150
10052,20904035,2,31086,10
10053,20904036,2,31086,20
10054,20904037,2,31086,30
10055,20904038,2,31086,40
10056,20904039,2,31086,50
10057,20904040,8,91002,5000
10058,20904041,8,91002,8000
10059,20904042,8,91002,10000
10060,20903017,2,90005,25
10061,20903018,2,31088,150
10062,20904043,2,31088,10
10063,20904044,2,31088,20
10064,20904045,2,31088,30
10065,20904046,2,31088,40
10066,20904047,2,90005,200
10067,20904048,2,31088,100
10068,20904049,2,31088,135
10069,20904050,8,91002,3500
10070,20904050,4,140001,30
10071,20904051,8,91002,7000
10072,20904051,4,140001,100
10073,20904052,8,91002,10000
10074,20904052,4,140001,150
10075,20903019,2,31087,150
10076,20904053,2,31087,10
10077,20904054,2,31087,20
10078,20904055,2,31087,30
10079,20904056,2,31087,40
10080,20904057,2,31087,50
10081,20903020,2,31091,150
10082,20904058,2,31091,10
10083,20904059,2,31091,20
10084,20904060,2,31091,30
10085,20904061,2,31091,40
10086,20904062,2,31091,50
10087,20904063,2,31061,10
10088,20904064,2,31061,20
10089,20904065,2,31061,30
10090,20904066,2,31061,40
10091,20904067,2,31061,50
10092,20904068,2,31061,115
10093,20904069,2,31061,150
10094,28006002,8,91002,1500
10095,28006003,8,91002,500
10096,28006004,2,97504,1
10097,20904070,8,91002,3500
10098,20904070,2,90005,100
10099,20904071,8,91002,7000
10100,20904071,2,90005,200
10101,20904072,8,91002,10000
10102,20904072,2,90005,300
10103,20904073,2,31014,10
10104,20904074,2,31014,20
10105,20904075,2,31014,30
10106,20904076,2,31014,40
10107,20904077,2,31014,50
10108,20904078,2,31014,115
10109,20904079,2,31014,150
10110,20904080,2,31092,10
10111,20904081,2,31092,20
10112,20904082,2,31092,30
10113,20904083,2,31092,40
10114,20904084,2,31092,50
10115,20904085,2,31092,115
10116,20904086,2,31092,150
10117,20904087,8,91002,5000
10118,20904087,2,90005,150
10119,20904088,8,91002,10000
10120,20904088,2,90005,300
10121,20904089,8,91002,20000
10122,20904089,2,90005,500
10123,20904090,2,31094,20
10124,20904091,2,31094,30
10125,20904092,2,31094,40
10126,20904093,2,31094,60
10127,20904094,2,31094,115
10128,20904095,2,90005,1000
10130,20904097,8,91002,3500
10131,20904097,2,90005,100
10132,20904097,6,93001,900
10133,20904098,8,91002,4500
10134,20904098,2,90005,150
10135,20904098,6,93001,900
10136,20904099,8,91002,5500
10137,20904099,2,90005,200
10138,20904099,6,93001,900
10139,20904100,8,91002,6500
10140,20904100,2,90005,250
10141,20904100,6,93001,900
10142,20904101,8,91002,7500
10143,20904101,2,90005,300
10144,20904101,6,93001,900
10145,20904102,2,31036,10
10146,20904102,2,31044,10
10147,20904102,2,31014,10
10148,20904103,2,31036,20
10149,20904103,2,31044,20
10150,20904103,2,31014,20
10151,20904104,2,31036,30
10152,20904104,2,31044,30
10153,20904104,2,31014,30
10154,20904105,2,31036,40
10155,20904105,2,31044,40
10156,20904105,2,31014,40
10157,20904106,2,31036,50
10158,20904106,2,31044,50
10159,20904106,2,31014,50
10160,20904107,2,31036,115
10161,20904107,2,31044,115
10162,20904107,2,31014,115
10163,20904108,2,90005,1000
10164,20904109,2,31095,20
10165,20904110,2,31095,30
10166,20904111,2,31095,40
10167,20904112,2,31095,60
10168,20904113,2,31095,115
10169,20904114,8,91002,4500
10170,20904114,4,140001,30
10171,20904115,8,91002,5500
10172,20904115,4,140001,40
10173,20904116,8,91002,6500
10174,20904116,4,140001,50
10175,20904117,8,91002,7500
10176,20904117,4,140001,60
10177,20904118,8,91002,8500
10178,20904118,4,140001,70
10179,20904119,8,91002,4000
10180,20904119,2,90005,50
10181,20904119,6,93001,900
10182,20904120,8,91002,4500
10183,20904120,2,90005,100
10184,20904120,6,93001,900
