music_id,name,total_playing_time,listen_start_time,detail,sheet_id,cue_id
1,"Lost Princess",01:33,00:58,"角色歌曲\n\n時間 / 01:33\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　可可蘿（伊藤美來）\n　　　凱留（立花理香）\n作詞 / しほり\n作曲 / 田中公平\n編曲 / 根岸貴幸",bgm_M152,bgm_M152
2,"Connecting Happy!!",01:56,01:01,"角色歌曲\n\n時間 / 01:56\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　可可蘿（伊藤美來）\n　　　凱留（立花理香）\n作詞 / 畑亜貴\n作曲 / 高尾奏之介\n編曲 / 奈良悠樹",bgm_M153,bgm_M153
3,"踏上旅程",01:48,00:00,"主線冒險\n\n時間 / 01:48\n作曲 / 本田晃弘（Cygames）\n編曲 / 伊藤翼",bgm_M61,bgm_M61_juke
4,"穿過森林的風",01:35,00:00,"主線冒險\n\n時間 / 01:35\n作曲 / 本田晃弘（Cygames）\n編曲 / カワイヒデヒロ",bgm_M62,bgm_M62_juke
5,"梅莎路提姆",01:18,00:00,"戰隊競賽\n\n時間 / 01:18\n作曲 / 西木康智\n編曲 / 西木康智",bgm_M90,bgm_M90_juke
6,"初音的禮物大作戰",01:02,00:00,"故事劇情主題曲\n-「Smiley Contrast」編曲-\n\n時間 / 01:02\n作曲 / 渡部チェル\n編曲 / 加藤慶",bgm_M32,bgm_M32_juke
7,"席茲",02:34,00:00,"故事劇情頭目戰\n\n時間 / 02:34\n作曲 / 多田彰文\n編曲 / 多田彰文",bgm_M47,bgm_M47_juke
8,"Smiley Contrast",01:40,00:57,"角色歌曲\n\n時間 / 01:40\n演唱　 / 初音（大橋彩香）\n　　　栞（小清水亞美）\n作詞 / 磯谷佳江\n作曲 / 渡部チェル\n編曲 / 渡部チェル",bgm_M149,bgm_M149
9,"牛頭怪",00:59,00:00,"戰隊競賽\n\n時間 / 00:59\n作曲 / 東大路憲太\n編曲 / 東大路憲太",bgm_M97,bgm_M97_juke
10,"小小甜心大冒險",01:00,00:00,"故事劇情主題曲\n-「小小冒險」編曲-\n\n時間 / 01:00\n作曲 / 池田健仁\n編曲 / 西村真吾",bgm_M98,bgm_M98_juke
