id,odds_file,name,icon_type,description
1,box_rank_1-3,"隨機裝備箱",99002,"能夠獲得隨機的裝備。"
2,eq_rank_3-6,"RANK3～6的裝備道具",99002,"角色於RANK1～4中必要的裝備道具"
3,eq_rank_4-7,"RANK4～7的裝備道具",99002,"角色於RANK4～7中必要的裝備道具"
4,1000120101,"初音的記憶碎片",99002,""
5,1000120102,"栞的記憶碎片",99002,""
6,1000220101,"禊的記憶碎片",99002,""
7,1000220102,"美美的記憶碎片",99002,""
8,1000320101,"真步的記憶碎片",99002,""
9,1000320102,"香織的記憶碎片",99002,""
10,1000420101,"可可蘿（夏日）的記憶碎片",99002,""
11,1000420102,"咲戀的記憶碎片",99002,""
12,eq_rank_5-8,"RANK5～8的裝備道具",99002,"角色於RANK5～8中必要的裝備道具"
13,1000520101,"美冬（夏日）的記憶碎片",99002,""
14,1000520102,"秋乃的記憶碎片",99002,""
15,1000620101,"純的記憶碎片",99002,""
16,1000620102,"優花梨的記憶碎片",99002,""
17,1000720101,"宮子（萬聖節）的記憶碎片",99002,""
18,1000720102,"依里的記憶碎片",99002,""
19,1000820101,"杏奈的記憶碎片",99002,""
20,1000820102,"深月的記憶碎片",99002,""
21,1000920101,"胡桃（聖誕節）的記憶碎片",99002,""
22,1000920102,"望的記憶碎片",99002,""
23,1001020101,"怜（新年）的記憶碎片",99002,""
24,1001020102,"優衣的記憶碎片",99002,""
25,1001120101,"惠理子（情人節）的記憶碎片",99002,""
26,1001120102,"璃乃的記憶碎片",99002,""
27,1001220101,"真琴的記憶碎片",99002,""
28,1001220102,"雪的記憶碎片",99002,""
29,1001320101,"露的記憶碎片",99002,""
30,1001320102,"伊緒的記憶碎片",99002,""
31,1001420101,"初音的記憶碎片",99002,""
32,1001420102,"栞的記憶碎片",99002,""
33,1001520101,"空花的記憶碎片",99002,""
34,1001520102,"莫妮卡的記憶碎片",99002,""
35,1001620101,"禊的記憶碎片",99002,""
36,1001620102,"美美的記憶碎片",99002,""
37,box_rank_2-4,"隨機裝備箱",99002,"能夠獲得隨機的裝備。"
38,box_rank_2-5,"隨機裝備箱",99002,"能夠獲得隨機的裝備。"
39,box_rank_3-6,"隨機裝備箱",99002,"能夠獲得隨機的裝備。"
40,box_rank_4-5,"隨機裝備箱",99002,"能夠獲得隨機的裝備。"
41,box_rank_6-7,"隨機裝備箱",99002,"能夠獲得隨機的裝備。"
42,box_rank_7-8,"隨機裝備箱",99002,"能夠獲得隨機的裝備。"
43,box_rank_8-10,"隨機裝備箱",99002,"能夠獲得隨機的裝備。"
44,box_rank_8-11,"隨機裝備箱",99002,"能夠獲得隨機的裝備。"
45,box_rank_9-12,"隨機裝備箱",99002,"能夠獲得隨機的裝備。"
46,1001720101,"拉姆的記憶碎片",99002,""
47,1001720102,"鈴莓的記憶碎片",99002,""
48,1001820101,"真步的記憶碎片",99002,""
49,1001820102,"香織的記憶碎片",99002,""
50,1001920101,"伊緒（夏日）的記憶碎片",99002,""
51,1001920102,"美咲的記憶碎片",99002,""
52,1002020103,"可可蘿（夏日）的記憶碎片",99002,""
53,1002020104,"咲戀的記憶碎片",99002,""
54,1002120103,"香織（夏日）的記憶碎片",99002,""
55,1002120104,"霞的記憶碎片",99002,""
56,1002220101,"美冬（夏日）的記憶碎片",99002,""
57,1002220102,"秋乃的記憶碎片",99002,""
58,1002320101,"流夏的記憶碎片",99002,""
59,1002320102,"碧的記憶碎片",99002,""
60,1002420101,"純的記憶碎片",99002,""
61,1002420102,"優花梨的記憶碎片",99002,""
62,1002520101,"禊（萬聖節）的記憶碎片",99002,""
63,1002520102,"鏡華的記憶碎片",99002,""
64,1002620101,"宮子（萬聖節）的記憶碎片",99002,""
65,1002620102,"依里的記憶碎片",99002,""
66,1002720101,"智的記憶碎片",99002,""
67,1002720102,"茉莉的記憶碎片",99002,""
68,1002820101,"杏奈的記憶碎片",99002,""
69,1002820102,"深月的記憶碎片",99002,""
70,1002920101,"望（聖誕節）的記憶碎片",99002,""
71,1002920102,"伊莉亞的記憶碎片",99002,""
72,1003020101,"胡桃（聖誕節）的記憶碎片",99002,""
73,1003020102,"望的記憶碎片",99002,""
74,1003120101,"鈴莓（新年）的記憶碎片",99002,""
75,1003120102,"胡桃的記憶碎片",99002,""
76,1003220101,"怜（新年）的記憶碎片",99002,""
77,1003220102,"優衣的記憶碎片",99002,""
78,1003320101,"栞（魔法少女）的記憶碎片",99002,""
79,1003320102,"靜流的記憶碎片",99002,""
80,1003420101,"惠理子（情人節）的記憶碎片",99002,""
81,1003420102,"璃乃的記憶碎片",99002,""
82,1003520101,"未央（NGs）的記憶碎片",99002,""
83,1003520102,"千歌的記憶碎片",99002,""
84,1003720101,"真琴的記憶碎片",99002,""
85,1003720102,"雪的記憶碎片",99002,""
86,1003820101,"望（聖誕節）的記憶碎片",99002,""
87,1003820102,"伊莉亞的記憶碎片",99002,""
88,1003920101,"露的記憶碎片",99002,""
89,1003920102,"伊緒的記憶碎片",99002,""
90,1004020101,"咲戀的記憶碎片",99002,""
91,1004020102,"真陽的記憶碎片",99002,""
92,1004120101,"莫妮卡的記憶碎片",99002,""
93,1004120102,"空花的記憶碎片",99002,""
94,1004220101,"步未（奇幻）的記憶碎片",99002,""
95,1004220102,"嘉夜的記憶碎片",99002,""
96,1004320101,"伊緒（夏日）的記憶碎片",99002,""
97,1004320102,"美咲的記憶碎片",99002,""
98,1004420101,"杏奈（夏日）的記憶碎片",99002,""
99,1004420102,"惠理子的記憶碎片",99002,""
100,box_rank_3-8,"隨機裝備箱",99002,"能夠獲得隨機的裝備。"
101,box_rank_3-10,"隨機裝備箱",99002,"能夠獲得隨機的裝備。"
102,box_rank_9-13,"隨機裝備箱",99002,"能夠獲得隨機的裝備。"
103,box_rank_11-14,"隨機裝備箱",99002,"能夠獲得隨機的裝備。"
