area_id,area_name,area_display_name,map_type,sheet_id,que_id,start_time,end_time
11001,"1.朱諾平原","1.朱諾平原",101,bgm_M61,bgm_M61,"2015/12/17 15:00:00","2030/12/17 14:59:59"
11002,"2.帕拉斯高原","2.帕拉斯高原",101,bgm_M61,bgm_M61_02,"2015/12/17 15:00:00","2030/12/17 14:59:59"
11003,"3.赫柏丘陵","3.赫柏丘陵",101,bgm_M61,bgm_M61_03,"2015/12/17 15:00:00","2030/12/17 14:59:59"
11004,"4.維斯塔溪谷","4.維斯塔溪谷",101,bgm_M61,bgm_M61_04,"2015/12/17 15:00:00","2030/12/17 14:59:59"
11005,"5.刻瑞斯森林","5.刻瑞斯森林",101,bgm_M62,bgm_M62_01,"2015/12/17 15:00:00","2030/12/17 14:59:59"
11006,"6.佛洛拉湖畔","6.佛洛拉湖畔",101,bgm_M62,bgm_M62_02,"2015/12/17 15:00:00","2030/12/17 14:59:59"
11007,"7.墨提斯大瀑布","7.墨提斯大瀑布",101,bgm_M62,bgm_M62_03,"2015/12/17 15:00:00","2030/12/17 14:59:59"
11008,"8.伊麗絲樹海","8.伊麗絲樹海",101,bgm_M42,bgm_M42_02,"2015/12/17 15:00:00","2030/12/17 14:59:59"
11009,"9.弗麗嘉雪原","9.弗麗嘉雪原",101,bgm_M58,bgm_M58,"2015/12/17 15:00:00","2030/12/17 14:59:59"
11010,"10.洛麗泰海岸","10.洛麗泰海岸",101,bgm_M101,bgm_M101,"2018/10/05 16:00:00","2030/12/17 14:59:59"
11011,"11.蓋奴亞荒漠","11.蓋奴亞荒漠",101,bgm_M93,bgm_M93,"2018/11/07 16:00:00","2030/12/17 14:59:59"
11012,"12.波諾尼亞砂丘","12.波諾尼亞砂丘",101,bgm_M94,bgm_M94,"2018/12/07 16:00:00","2030/12/17 14:59:59"
11013,"13.朵羅西亞溼地","13.朵羅西亞濕地",101,bgm_M118,bgm_M118,"2019/01/03 16:00:00","2030/12/17 14:59:59"
11014,"14.尤金尼亞熱地","14.尤金尼亞熱地",101,bgm_M95,bgm_M95,"2019/01/30 16:00:00","2030/12/17 14:59:59"
