id,mission_id,disp_order,category_icon,receive_text,after_text,gift_message_id,term,repurchase_day,group_id,system_id_1,add_num_1,item_record_id,condition_flg,reward_rate_1,mission_count,present_count
9,17001001,1,403,"每日寶石禮包第{1}天的獎勵","每日寶石禮包未領取的獎勵",9401,30,3,0,104,1,1,0,2000,2,1
12,17001101,1,403,"每日瑪那禮包第{1}天的獎勵","每日瑪那禮包未領取的獎勵",99401,30,3,0,0,0,101,0,0,1,1
13,17001102,1,403,"","",99402,1,0,0,0,0,102,0,0,0,1
14,17001103,1,403,"","",99403,7,1,0,0,0,103,0,0,0,1
15,17001104,1,403,"","",99404,30,3,0,0,0,104,0,0,0,1
32,17001105,1,403,"每日體力禮包第{1}天的獎勵","每日體力未領取的獎勵",99445,30,3,0,0,0,105,0,0,1,1
41,17001106,1,403,"每日秘石禮包第{1}天的獎勵","每日秘石未領取的獎勵",99456,30,3,0,0,0,106,0,0,1,1
42,17001107,1,403,"每日瑪那禮包第{1}天的獎勵","每日瑪那禮包未領取的獎勵",99401,30,3,0,0,0,107,0,0,1,1
75,17001109,1,403,"每日寶石禮包第{1}天的獎勵","每日寶石禮包未領取的獎勵",9401,90,3,0,104,0,2,0,0,1,1
90,0,0,0,"","",9402,7,3,1,103,3,0,1,1000,0,0
91,17001108,1,403,"公主之心碎片每日禮包第{1}天的獎勵","公主之心碎片每日禮包未領取的獎勵",99517,30,3,0,0,0,108,0,0,1,1
139,0,0,0,"","",9402,30,3,1,103,3,0,1,1000,0,0
211,17001110,2,405,"體力應援包第{1}天的獎勵","",99559,7,0,0,103,1,3,0,0,1,0
212,0,2,0,"","",9403,0,0,0,0,0,4,0,0,0,34
213,0,4,0,"","",9404,0,0,0,0,0,5,0,0,0,31
214,0,6,0,"","",9405,0,0,0,0,0,6,0,0,0,37
215,0,8,0,"","",9406,0,0,0,0,0,7,0,0,0,38
517,0,10,0,"","",9411,0,0,0,0,0,8,0,0,0,38
518,0,11,0,"","",9412,0,0,0,0,0,9,0,0,0,38
519,0,1,0,"","",9319,30,0,0,908,0,109,0,0,0,0
520,0,3,0,"","",9407,0,0,0,0,0,4,0,0,0,34
521,0,5,0,"","",9408,0,0,0,0,0,5,0,0,0,31
522,0,7,0,"","",9409,0,0,0,0,0,6,0,0,0,37
523,0,9,0,"","",9410,0,0,0,0,0,7,0,0,0,38
