mission_id,disp_group,category_icon,mission_description,emblem_description,mission_condition,condition_value_1,condition_value_2,condition_value_3,condition_num,mission_reward_id,dungeon_area_id,visible_flag,start_time,end_time
3200101,1004110,603,"征服1次特別地下城","特別地下城 1st Clear！",80001,0,0,0,1,32001001,32001,1,"2015/04/01 15:00:00","2030/04/01 14:59:59"
3200102,1004110,603,"征服2次特別地下城","特別地下城 2nd Clear！",80001,0,0,0,2,32001002,32001,1,"2015/04/01 15:00:00","2030/04/01 14:59:59"
3200103,1004110,603,"征服3次特別地下城","特別地下城 3rd Clear！",80001,0,0,0,3,32001003,32001,1,"2015/04/01 15:00:00","2030/04/01 14:59:59"
3200104,1004110,603,"征服4次特別地下城","特別地下城 4th Clear！",80001,0,0,0,4,32001004,32001,1,"2015/04/01 15:00:00","2030/04/01 14:59:59"
3200105,1004110,603,"征服5次特別地下城","特別地下城 5th Clear！",80001,0,0,0,5,32001005,32001,1,"2015/04/01 15:00:00","2030/04/01 14:59:59"
3200201,1004110,603,"登頂1次特別地下城","1st Round Clear！",80001,0,0,0,1,32001001,32002,1,"2015/04/01 15:00:00","2030/04/01 14:59:59"
3200202,1004110,603,"登頂2次特別地下城","2nd Round Clear！",80001,0,0,0,2,32001002,32002,1,"2015/04/01 15:00:00","2030/04/01 14:59:59"
3200203,1004110,603,"登頂3次特別地下城","3rd Round Clear！",80001,0,0,0,3,32001003,32002,1,"2015/04/01 15:00:00","2030/04/01 14:59:59"
3200204,1004110,603,"登頂4次特別地下城","4th Round Clear！",80001,0,0,0,4,32001004,32002,1,"2015/04/01 15:00:00","2030/04/01 14:59:59"
3200205,1004110,603,"登頂5次特別地下城","CONQUEST！",80001,0,0,0,5,32001005,32002,1,"2015/04/01 15:00:00","2030/04/01 14:59:59"
3200301,1004110,603,"登頂1次特別地下城","1st Round Clear！",80001,0,0,0,1,32001001,32003,1,"2015/04/01 15:00:00","2030/04/01 14:59:59"
3200302,1004110,603,"登頂2次特別地下城","2nd Round Clear！",80001,0,0,0,2,32001002,32003,1,"2015/04/01 15:00:00","2030/04/01 14:59:59"
3200303,1004110,603,"登頂3次特別地下城","3rd Round Clear！",80001,0,0,0,3,32001003,32003,1,"2015/04/01 15:00:00","2030/04/01 14:59:59"
3200304,1004110,603,"登頂4次特別地下城","4th Round Clear！",80001,0,0,0,4,32001004,32003,1,"2015/04/01 15:00:00","2030/04/01 14:59:59"
3200305,1004110,603,"登頂5次特別地下城","CONQUEST！",80001,0,0,0,5,32001005,32003,1,"2015/04/01 15:00:00","2030/04/01 14:59:59"
