id,mission_reward_id,reward_type,reward_id,reward_num
20001001,72001001,8,91002,30
20001002,72001001,2,22002,1
20001003,72001002,8,91002,30
20001004,72001002,2,22002,1
20001005,72001003,8,91002,30
20001006,72001003,2,22002,1
20001007,72001004,8,91002,30
20001008,72001004,2,22002,1
20001009,72001005,8,91002,30
20001010,72001005,2,22002,1
20001011,72001006,8,91002,30
20001012,72001006,2,22002,1
20001013,72001007,8,91002,30
20001014,72001007,2,22002,1
20001015,72001008,8,91002,30
20001016,72001008,2,22002,1
20001017,72001009,8,91002,30
20001018,72001009,2,22002,1
20001019,72001010,8,91002,30
20001020,72001010,2,22002,1
20001021,72001011,8,91002,30
20001022,72001011,2,22002,1
20001023,72001012,8,91002,30
20001024,72001012,2,22002,1
20001025,72001013,8,91002,30
20001026,72001013,2,22002,1
20001027,72001014,8,91002,30
20001028,72001014,2,22002,1
20001029,72001015,8,91002,200
20001030,72001015,2,22002,1
20001031,72001016,8,91002,60
20001032,72001016,2,22002,2
20001033,72001017,8,91002,60
20001034,72001017,2,22002,2
20001035,72001018,8,91002,60
20001036,72001018,2,22002,2
20001037,72001019,8,91002,60
20001038,72001019,2,22002,2
20001039,72001020,8,91002,300
20001040,72001020,2,22002,2
20001041,72001021,2,31012,5
20001042,72001021,2,31038,5
20001043,72001022,2,31012,5
20001044,72001022,2,31038,5
20001045,72001023,2,31012,10
20001046,72001023,2,31038,10
20002001,72002001,8,91002,30
20002002,72002001,2,22002,1
20002003,72002002,8,91002,30
20002004,72002002,2,22002,1
20002005,72002003,8,91002,30
20002006,72002003,2,22002,1
20002007,72002004,8,91002,30
20002008,72002004,2,22002,1
20002009,72002005,8,91002,30
20002010,72002005,2,22002,1
20002011,72002006,8,91002,30
20002012,72002006,2,22002,1
20002013,72002007,8,91002,30
20002014,72002007,2,22002,1
20002015,72002008,8,91002,30
20002016,72002008,2,22002,1
20002017,72002009,8,91002,30
20002018,72002009,2,22002,1
20002019,72002010,8,91002,30
20002020,72002010,2,22002,1
20002021,72002011,8,91002,30
20002022,72002011,2,22002,1
20002023,72002012,8,91002,30
20002024,72002012,2,22002,1
20002025,72002013,8,91002,30
20002026,72002013,2,22002,1
20002027,72002014,8,91002,30
20002028,72002014,2,22002,1
20002029,72002015,8,91002,200
20002030,72002015,2,22002,1
20002031,72002016,8,91002,60
20002032,72002016,2,22002,2
20002033,72002017,8,91002,60
20002034,72002017,2,22002,2
20002035,72002018,8,91002,60
20002036,72002018,2,22002,2
20002037,72002019,8,91002,60
20002038,72002019,2,22002,2
20002039,72002020,8,91002,300
20002040,72002020,2,22002,2
20002041,72002021,2,31020,5
20002042,72002021,2,31004,5
20002043,72002022,2,31020,5
20002044,72002022,2,31004,5
20002045,72002023,2,31020,10
20002046,72002023,2,31004,10
20003001,72003001,8,91002,30
20003002,72003001,2,22002,1
20003003,72003002,8,91002,30
20003004,72003002,2,22002,1
20003005,72003003,8,91002,30
20003006,72003003,2,22002,1
20003007,72003004,8,91002,30
20003008,72003004,2,22002,1
20003009,72003005,8,91002,30
20003010,72003005,2,22002,1
20003011,72003006,8,91002,30
20003012,72003006,2,22002,1
20003013,72003007,8,91002,30
20003014,72003007,2,22002,1
20003015,72003008,8,91002,30
20003016,72003008,2,22002,1
20003017,72003009,8,91002,30
20003018,72003009,2,22002,1
20003019,72003010,8,91002,30
20003020,72003010,2,22002,1
20003021,72003011,8,91002,30
20003022,72003011,2,22002,1
20003023,72003012,8,91002,30
20003024,72003012,2,22002,1
20003025,72003013,8,91002,30
20003026,72003013,2,22002,1
20003027,72003014,8,91002,30
20003028,72003014,2,22002,1
20003029,72003015,8,91002,200
20003030,72003015,2,22002,1
20003031,72003016,8,91002,60
20003032,72003016,2,22002,2
20003033,72003017,8,91002,60
20003034,72003017,2,22002,2
20003035,72003018,8,91002,60
20003036,72003018,2,22002,2
20003037,72003019,8,91002,60
20003038,72003019,2,22002,2
20003039,72003020,8,91002,300
20003040,72003020,2,22002,2
20003041,72003021,2,31010,5
20003042,72003021,2,31017,5
20003043,72003022,2,31010,5
20003044,72003022,2,31017,5
20003045,72003023,2,31010,10
20003046,72003023,2,31017,10
20004001,72004001,8,91002,30
20004002,72004001,2,22002,1
20004003,72004002,8,91002,30
20004004,72004002,2,22002,1
20004005,72004003,8,91002,30
20004006,72004003,2,22002,1
20004007,72004004,8,91002,30
20004008,72004004,2,22002,1
20004009,72004005,8,91002,30
20004010,72004005,2,22002,1
20004011,72004006,8,91002,30
20004012,72004006,2,22002,1
20004013,72004007,8,91002,30
20004014,72004007,2,22002,1
20004015,72004008,8,91002,30
20004016,72004008,2,22002,1
20004017,72004009,8,91002,30
20004018,72004009,2,22002,1
20004019,72004010,8,91002,30
20004020,72004010,2,22002,1
20004021,72004011,8,91002,30
20004022,72004011,2,22002,1
20004023,72004012,8,91002,30
20004024,72004012,2,22002,1
20004025,72004013,8,91002,30
20004026,72004013,2,22002,1
20004027,72004014,8,91002,30
20004028,72004014,2,22002,1
20004029,72004015,8,91002,200
20004030,72004015,2,22002,1
20004031,72004016,8,91002,60
20004032,72004016,2,22002,2
20004033,72004017,8,91002,60
20004034,72004017,2,22002,2
20004035,72004018,8,91002,60
20004036,72004018,2,22002,2
20004037,72004019,8,91002,60
20004038,72004019,2,22002,2
20004039,72004020,8,91002,300
20004040,72004020,2,22002,2
20004041,72004021,1,107601,1
20004042,72004022,2,31076,10
20004043,72004022,2,31028,10
20004044,72004023,2,31076,10
20004045,72004023,2,31028,10
20005001,72005001,8,91002,30
20005002,72005001,2,22002,1
20005003,72005002,8,91002,30
20005004,72005002,2,22002,1
20005005,72005003,8,91002,30
20005006,72005003,2,22002,1
20005007,72005004,8,91002,30
20005008,72005004,2,22002,1
20005009,72005005,8,91002,30
20005010,72005005,2,22002,1
20005011,72005006,8,91002,30
20005012,72005006,2,22002,1
20005013,72005007,8,91002,30
20005014,72005007,2,22002,1
20005015,72005008,8,91002,30
20005016,72005008,2,22002,1
20005017,72005009,8,91002,30
20005018,72005009,2,22002,1
20005019,72005010,8,91002,30
20005020,72005010,2,22002,1
20005021,72005011,8,91002,30
20005022,72005011,2,22002,1
20005023,72005012,8,91002,30
20005024,72005012,2,22002,1
20005025,72005013,8,91002,30
20005026,72005013,2,22002,1
20005027,72005014,8,91002,30
20005028,72005014,2,22002,1
20005029,72005015,8,91002,200
20005030,72005015,2,22002,1
20005031,72005016,8,91002,60
20005032,72005016,2,22002,2
20005033,72005017,8,91002,60
20005034,72005017,2,22002,2
20005035,72005018,8,91002,60
20005036,72005018,2,22002,2
20005037,72005019,8,91002,60
20005038,72005019,2,22002,2
20005039,72005020,8,91002,300
20005040,72005020,2,22002,2
20005041,72005021,1,108001,1
20005042,72005022,2,31080,10
20005043,72005022,2,31032,10
20005044,72005023,2,31080,10
20005045,72005023,2,31032,10
20006001,72006001,8,91002,30
20006002,72006001,2,22002,1
20006003,72006002,8,91002,30
20006004,72006002,2,22002,1
20006005,72006003,8,91002,30
20006006,72006003,2,22002,1
20006007,72006004,8,91002,30
20006008,72006004,2,22002,1
20006009,72006005,8,91002,30
20006010,72006005,2,22002,1
20006011,72006006,8,91002,30
20006012,72006006,2,22002,1
20006013,72006007,8,91002,30
20006014,72006007,2,22002,1
20006015,72006008,8,91002,30
20006016,72006008,2,22002,1
20006017,72006009,8,91002,30
20006018,72006009,2,22002,1
20006019,72006010,8,91002,30
20006020,72006010,2,22002,1
20006021,72006011,8,91002,30
20006022,72006011,2,22002,1
20006023,72006012,8,91002,30
20006024,72006012,2,22002,1
20006025,72006013,8,91002,30
20006026,72006013,2,22002,1
20006027,72006014,8,91002,30
20006028,72006014,2,22002,1
20006029,72006015,8,91002,200
20006030,72006015,2,22002,1
20006031,72006016,8,91002,60
20006032,72006016,2,22002,2
20006033,72006017,8,91002,60
20006034,72006017,2,22002,2
20006035,72006018,8,91002,60
20006036,72006018,2,22002,2
20006037,72006019,8,91002,60
20006038,72006019,2,22002,2
20006039,72006020,8,91002,300
20006040,72006020,2,22002,2
20006041,72006021,2,31047,5
20006042,72006021,2,31034,5
20006043,72006022,2,31047,5
20006044,72006022,2,31034,5
20006045,72006023,2,31047,10
20006046,72006023,2,31034,10
