skill_id,name,skill_type,skill_area_width,skill_cast_time,action_1,action_2,action_3,action_4,action_5,action_6,action_7,depend_action_1,depend_action_2,depend_action_3,depend_action_4,depend_action_5,depend_action_6,depend_action_7,description,icon_type
1001001,"日和衝擊",0,0,0.0,100100101,100100102,100100103,0,0,0,0,0,100100102,0,0,0,0,0,"對面前的 1 名敵人造成大幅度的物理傷害，並造成附近小範圍內的所有敵人中幅度的物理傷害。",1001
1001002,"貓咪攻擊",0,0,1.125,100100201,0,0,0,0,0,0,0,0,0,0,0,0,0,"對面前的 1 名敵人造成中幅度的物理傷害。",2001
1001003,"貓咪聯合攻擊",0,0,1.295,100100301,100100302,0,0,0,0,0,0,0,0,0,0,0,0,"對面前的 1 名敵人造成小幅度的物理傷害，並中幅度的提升自己的物理攻擊力。",2001
1001011,"日和燃燒衝擊",0,0,0.0,100101101,100101102,0,0,0,0,0,0,0,0,0,0,0,0,"對眼前1名敵人角色造成特大幅度物理傷害，並對其身邊範圍內的所有敵人造成大幅度物理傷害。",1001
1001012,"貓咪攻擊+",0,0,1.125,100101201,100101202,0,0,0,0,0,0,0,0,0,0,0,0,"對眼前一名敵人角色造成大幅度物理傷害，並對其身邊小範圍內的所有敵人造成小幅度物理傷害。",2001
1001501,"肉球力量！",0,0,0.0,100150101,0,0,0,0,0,0,0,0,0,0,0,0,0,"戰鬥開始時，中幅度提升自己的物理攻擊力。",3001
1001511,"肉球力量！+",0,0,0.0,100151101,0,0,0,0,0,0,0,0,0,0,0,0,0,"戰鬥開始時，大幅度提升自己的物理攻擊力。",3001
1002001,"全體治癒",1,0,0.0,100200101,0,0,0,0,0,0,0,0,0,0,0,0,0,"使己方全體恢復中幅度的 HP。",1005
1002002,"花朵射擊",1,0,1.6,100200201,0,0,0,0,0,0,0,0,0,0,0,0,0,"對面前的 1 名敵人造成中幅度的魔法傷害。",2002
1002003,"花朵護盾",1,0,1.46,100200301,0,0,0,0,0,0,0,0,0,0,0,0,0,"小幅度提升己方全體的物理防禦力。",2003
1002011,"盛開治癒",1,0,0.0,100201101,100201102,100201103,100201104,0,0,0,0,0,0,0,0,0,0,"中幅度恢復全體夥伴的HP，再大幅度提升其物理防禦力，並且展開物理無效的屏障，同時大幅度提升行動速度。",1005
1002012,"花朵射擊+",1,0,1.6,100201201,100201202,0,0,0,0,0,0,100201201,0,0,0,0,0,"對面前的 1 名敵人造成中幅度的魔法傷害，並中幅度降低其物理攻擊力。",2002
