stamp_id,disp_order,description,start_date,end_date
100101,4,"加油！","2015/04/01 14:00:00","2099/08/01 14:59:59"
100201,5,"謝謝","2015/04/01 14:00:00","2099/08/01 14:59:59"
100301,6,"參戰","2015/04/01 14:00:00","2099/08/01 14:59:59"
100401,7,"早安~！！","2015/04/01 14:00:00","2099/08/01 14:59:59"
100901,8,"就是現在！","2015/04/01 14:00:00","2099/08/01 14:59:59"
101001,9,"真是辛苦呀","2015/04/01 14:00:00","2099/08/01 14:59:59"
101101,10,"收到！","2015/04/01 14:00:00","2099/08/01 14:59:59"
101201,11,"開始囉─","2015/04/01 14:00:00","2099/08/01 14:59:59"
101601,12,"OK！","2015/04/01 14:00:00","2099/08/01 14:59:59"
101701,13,"盡人事！聽天命","2015/04/01 14:00:00","2099/08/01 14:59:59"
102001,14,"晚安","2015/04/01 14:00:00","2099/08/01 14:59:59"
102101,15,"哇！哇！","2015/04/01 14:00:00","2099/08/01 14:59:59"
102201,16,"抖~抖~","2015/04/01 14:00:00","2099/08/01 14:59:59"
102301,17,"怒怒","2015/04/01 14:00:00","2099/08/01 14:59:59"
102501,18,"辛苦啦…哇哇！？","2015/04/01 14:00:00","2099/08/01 14:59:59"
102701,19,"呵呵呵…","2015/04/01 14:00:00","2099/08/01 14:59:59"
102801,20,"要上了！","2015/04/01 14:00:00","2099/08/01 14:59:59"
102901,21,"交給我！","2015/04/01 14:00:00","2099/08/01 14:59:59"
103101,22,"晚晚安！","2015/04/01 14:00:00","2099/08/01 14:59:59"
103401,23,"乾杯！！","2015/04/01 14:00:00","2099/08/01 14:59:59"
103601,24,"已通報!!","2015/04/01 14:00:00","2099/08/01 14:59:59"
104001,25,"剩下就拜託了…","2015/04/01 14:00:00","2099/08/01 14:59:59"
104401,26,"隨我而來吧！","2015/04/01 14:00:00","2099/08/01 14:59:59"
104501,27,"想吃…","2015/04/01 14:00:00","2099/08/01 14:59:59"
104601,28,"喵！","2015/04/01 14:00:00","2099/08/01 14:59:59"
104801,29,"ＮＯ！","2015/04/01 14:00:00","2099/08/01 14:59:59"
104901,30,"抱歉呦♡","2015/04/01 14:00:00","2099/08/01 14:59:59"
105001,31,"快振作！！","2015/04/01 14:00:00","2099/08/01 14:59:59"
105301,32,"給我等一下！！","2015/04/01 14:00:00","2099/08/01 14:59:59"
105801,1,"嗨！！","2015/04/01 14:00:00","2099/08/01 14:59:59"
105901,2,"幹的好","2015/04/01 14:00:00","2099/08/01 14:59:59"
106001,3,"給我記住","2015/04/01 14:00:00","2099/08/01 14:59:59"
