story_group_id,story_type,value,title,thumbnail_id,disp_order,start_time,end_time,order,condition_free_flag,gojuon_order
1001,1,1001,"日和",0,49,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,517411
1002,1,1002,"優衣",0,67,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,720111
1003,1,1003,"怜",0,80,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,830111
1004,1,1004,"禊",0,59,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,612411
1005,1,1005,"茉莉",0,53,"2019/01/22 16:00:00","2099/12/17 14:59:59",0,0,603211
1006,1,1006,"茜里",0,3,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,1011
1007,1,1007,"宮子",0,64,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,617011
1008,1,1008,"雪",0,70,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,721111
1009,1,1009,"杏奈",0,9,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,9421
1010,1,1010,"真步",0,56,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,605411
1011,1,1011,"璃乃",0,73,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,814411
1012,1,1012,"初音",0,48,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,503211
1013,1,1013,"七七香",0,43,"2019/03/27 16:00:00","2099/12/17 14:59:59",0,0,404011
1014,1,1014,"霞",0,16,"2019/07/15 16:00:00","2099/12/17 14:59:59",0,0,102211
1015,1,1015,"美里",0,58,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,612021
1016,1,1016,"鈴奈",0,36,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,222211
1017,1,1017,"香織",0,15,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,100411
1018,1,1018,"伊緒",0,10,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,10411
1020,1,1020,"美美",0,62,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,616111
1021,1,1021,"胡桃",0,24,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,128211
1022,1,1022,"依里",0,72,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,748111
1023,1,1023,"綾音",0,5,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,6411
1025,1,1025,"鈴莓",0,37,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,222221
1026,1,1026,"鈴",0,76,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,819411
1027,1,1027,"惠理子",0,14,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,38111
1028,1,1028,"咲戀",0,30,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,208311
1029,1,1029,"望",0,47,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,442411
1030,1,1030,"妮諾",0,44,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,414411
1031,1,1031,"忍",0,34,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,214411
1032,1,1032,"秋乃",0,4,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,1111
1033,1,1033,"真陽",0,54,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,605111
1034,1,1034,"優花梨",0,69,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,721011
1036,1,1036,"鏡華",0,20,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,117411
1037,1,1037,"智",0,42,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,346411
1038,1,1038,"栞",0,32,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,210411
1040,1,1040,"碧",0,1,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,411
1042,1,1042,"千歌",0,40,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,311011
1043,1,1043,"真琴",0,52,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,601411
1044,1,1044,"伊莉亞",0,12,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,17111
1045,1,1045,"空花",0,21,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,120211
1046,1,1046,"珠希",0,38,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,306011
1047,1,1047,"純",0,35,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,217211
1048,1,1048,"美冬",0,61,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,615211
1049,1,1049,"靜流",0,33,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,212211
1050,1,1050,"美咲",0,57,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,612011
1051,1,1051,"深月",0,60,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,613211
1052,1,1052,"莉瑪",0,75,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,816011
1053,1,1053,"莫妮卡",0,66,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,644111
1054,1,1054,"紡希",0,41,"2015/04/01 15:00:00","2099/12/17 14:59:59",0,0,326211
1055,1,1055,"步未",0,6,"2019/07/26 16:00:00","2099/12/17 14:59:59",0,0,7211
1056,1,1056,"流夏",0,78,"2019/03/13 16:00:00","2099/12/17 14:59:59",0,0,821011
