story_id,story_group_id,title,sub_title,visible_type,story_end,pre_story_id,love_level,requirement_id,unlock_quest_id,story_quest_id,reward_type_1,reward_id_1,reward_value_1,reward_type_2,reward_id_2,reward_value_2,reward_type_3,reward_id_3,reward_value_3,start_time,end_time
1001001,1001,"日和 第1話","有困難的時候就互相幫助幫助",0,0,0,0,100101,0,0,8,91002,20,0,0,0,0,0,0,"2015/04/01 15:00:00","2099/12/17 14:59:59"
1001002,1001,"日和 第2話","誓約的勾勾手",0,0,1001001,2,100101,0,0,8,91002,20,0,0,0,0,0,0,"2015/04/01 15:00:00","2099/12/17 14:59:59"
1001003,1001,"日和 第3話","只願為了那些笑容",0,0,1001002,3,100101,0,0,8,91002,20,0,0,0,0,0,0,"2015/04/01 15:00:00","2099/12/17 14:59:59"
1001004,1001,"日和 第4話","流浪貓少女",0,0,1001003,4,100101,0,0,8,91002,50,0,0,0,0,0,0,"2015/04/01 15:00:00","2099/12/17 14:59:59"
1001005,1001,"日和 第5話","摸尾巴犯規？",0,0,1001004,5,100101,0,0,8,91002,20,0,0,0,0,0,0,"2015/04/01 15:00:00","2099/12/17 14:59:59"
1001006,1001,"日和 第6話","想要休息卻休息不了！",0,0,1001005,6,100101,0,0,8,91002,20,0,0,0,0,0,0,"2015/04/01 15:00:00","2099/12/17 14:59:59"
1001007,1001,"日和 第7話","將勝利獻給你",0,0,1001006,7,100101,0,0,8,91002,20,0,0,0,0,0,0,"2015/04/01 15:00:00","2099/12/17 14:59:59"
1001008,1001,"日和 第8話","明明想聲援的說",0,0,1001007,8,100101,0,0,8,91002,50,0,0,0,0,0,0,"2015/04/01 15:00:00","2099/12/17 14:59:59"
1001009,1001,"日和 第9話","雀躍的秘密",0,0,1001008,9,100101,0,0,8,91002,50,0,0,0,0,0,0,"2020/07/02 16:00:00","2030/12/17 14:59:59"
1001010,1001,"日和 第10話","該被幫助的壞人",0,0,1001009,10,100101,0,0,8,91002,50,0,0,0,0,0,0,"2020/07/02 16:00:00","2030/12/17 14:59:59"
1001011,1001,"日和 第11話","流浪貓的回憶",0,0,1001010,11,100101,0,0,8,91002,50,0,0,0,0,0,0,"2020/07/02 16:00:00","2030/12/17 14:59:59"
1001012,1001,"日和 第12話","心跳加速的力量",0,0,1001011,12,100101,0,0,8,91002,50,0,0,0,0,0,0,"2020/07/02 16:00:00","2030/12/17 14:59:59"
1002001,1002,"優衣 第1話","下次絕對",0,0,0,0,100201,0,0,8,91002,20,0,0,0,0,0,0,"2015/04/01 15:00:00","2099/12/17 14:59:59"
1002002,1002,"優衣 第2話","Lunch．With．Me！",0,0,1002001,2,100201,0,0,8,91002,20,0,0,0,0,0,0,"2015/04/01 15:00:00","2099/12/17 14:59:59"
1002003,1002,"優衣 第3話","享用一頓美味大餐的方法",0,0,1002002,3,100201,0,0,8,91002,20,0,0,0,0,0,0,"2015/04/01 15:00:00","2099/12/17 14:59:59"
1002004,1002,"優衣 第4話","想告訴在身旁的你",0,0,1002003,4,100201,0,0,8,91002,50,0,0,0,0,0,0,"2015/04/01 15:00:00","2099/12/17 14:59:59"
1002005,1002,"優衣 第5話","儘管只前進了一小步……",0,0,1002004,5,100201,0,0,8,91002,20,0,0,0,0,0,0,"2015/04/01 15:00:00","2099/12/17 14:59:59"
1002006,1002,"優衣 第6話","想了解你的真心",0,0,1002005,6,100201,0,0,8,91002,20,0,0,0,0,0,0,"2015/04/01 15:00:00","2099/12/17 14:59:59"
1002007,1002,"優衣 第7話","可靠的魔法？",0,0,1002006,7,100201,0,0,8,91002,20,0,0,0,0,0,0,"2015/04/01 15:00:00","2099/12/17 14:59:59"
1002008,1002,"優衣 第8話","不可思議的小咒語",0,0,1002007,8,100201,0,0,8,91002,50,0,0,0,0,0,0,"2015/04/01 15:00:00","2099/12/17 14:59:59"
1002009,1002,"優衣 第9話","記下那無人知曉的心情",0,0,1002008,9,100201,0,0,8,91002,50,0,0,0,0,0,0,"2020/07/02 16:00:00","2030/12/17 14:59:59"
1002010,1002,"優衣 第10話","信任終將迎向光明",0,0,1002009,10,100201,0,0,8,91002,50,0,0,0,0,0,0,"2020/07/02 16:00:00","2030/12/17 14:59:59"
1002011,1002,"優衣 第11話","總有一天會察覺的心意",0,0,1002010,11,100201,0,0,8,91002,50,0,0,0,0,0,0,"2020/07/02 16:00:00","2030/12/17 14:59:59"
1002012,1002,"優衣 第12話","獻給想保護之人的力量",0,0,1002011,12,100201,0,0,8,91002,50,0,0,0,0,0,0,"2020/07/02 16:00:00","2030/12/17 14:59:59"
1003001,1003,"怜 第1話","靠得住的指導者",0,0,0,0,100301,0,0,8,91002,20,0,0,0,0,0,0,"2015/04/01 15:00:00","2099/12/17 14:59:59"
