tower_schedule_id,max_tower_area_id,opening_story_id,count_start_time,recovery_disable_time,start_time,end_time
1001,1,7001000,"2019/02/18 15:59:59","2019/02/19 05:00:00","2019/02/13 16:00:00","2019/02/19 15:59:59"
1002,2,7002000,"2019/03/19 15:59:59","2019/03/20 05:00:00","2019/03/15 16:00:00","2019/03/20 15:59:59"
1003,3,7003000,"2019/04/21 15:59:59","2019/04/22 05:00:00","2019/04/17 16:00:00","2019/04/22 15:59:59"
1004,4,7003003,"2019/05/21 09:59:59","2019/05/22 05:00:00","2019/05/17 16:00:00","2019/05/22 09:59:59"
1005,5,7004000,"2019/06/20 15:59:59","2019/06/21 05:00:00","2019/06/17 16:00:00","2019/06/21 15:59:59"
1006,6,7004003,"2019/07/21 15:59:59","2019/07/22 05:00:00","2019/07/17 16:00:00","2019/07/22 15:59:59"
1007,7,7005000,"2019/08/21 15:59:59","2019/08/22 05:00:00","2019/08/16 16:00:00","2019/08/22 15:59:59"
1008,8,7005003,"2019/09/21 15:59:59","2019/09/22 05:00:00","2019/09/17 16:00:00","2019/09/22 15:59:59"
1009,9,7006000,"2019/10/22 15:59:59","2019/10/23 05:00:00","2019/10/18 16:00:00","2019/10/23 15:59:59"
1010,10,7006003,"2019/11/21 15:59:59","2019/11/22 05:00:00","2019/11/18 16:00:00","2019/11/22 15:59:59"
1011,11,7007000,"2019/12/21 15:59:59","2019/12/22 05:00:00","2019/12/17 16:00:00","2019/12/22 15:59:59"
1012,12,7007003,"2020/01/21 15:59:59",2020/01/22,"2020/01/16 16:00:00","2020/01/22 15:59:59"
1013,13,7008000,"2020/02/20 15:59:59",2020/02/21,"2020/02/17 16:00:00","2020/02/21 15:59:59"
1014,14,7008003,"2020/03/23 15:59:59",2020/03/24,"2020/03/17 16:00:00","2020/03/24 15:59:59"
1015,15,7009000,"2020/04/20 15:59:59",2020/04/21,"2020/04/14 16:00:00","2020/04/21 15:59:59"
1016,16,7009003,"2020/05/21 15:59:59","2020/05/22 05:00:00","2020/05/15 16:00:00","2020/05/22 15:59:59"
1017,17,7010000,"2020/06/18 15:59:59",2020/06/19,"2020/06/12 16:00:00","2020/06/19 15:59:59"
1018,18,7010003,"2020/07/19 15:59:59",2020/07/20,"2020/07/13 16:00:00","2020/07/20 15:59:59"
1019,19,7011000,"2020/08/20 15:59:59",2020/08/21,"2020/08/14 16:00:00","2020/08/21 15:59:59"
1020,20,7011003,"2020/09/15 15:59:59",2020/09/16,"2020/09/11 16:00:00","2020/09/16 15:59:59"
1021,21,7012000,"2020/10/17 15:59:59",2020/10/18,"2020/10/13 16:00:00","2020/10/18 15:59:59"
