id,item_id,reward_type,reward_id,reward_count
97501001,97501,6,93001,800
97501002,97501,12,94002,3000000
97501003,97501,2,90005,60
97501004,97501,2,25001,15
97501005,97501,4,140001,20
97501006,97501,2,23001,300
97501007,97501,2,20004,80
97502001,97502,4,105011,1
97502002,97502,4,105161,1
97502003,97502,4,105221,1
97502004,97502,4,105071,1
97502005,97502,4,105041,1
97502006,97502,4,105131,1
97502007,97502,4,105191,1
97502008,97502,4,105101,1
97502009,97502,4,105251,1
97502010,97502,4,105581,1
97502011,97502,4,105551,1
97502012,97502,4,105611,1
97502013,97502,4,105311,1
97502014,97502,4,105341,1
97502015,97502,4,105281,1
97502016,97502,4,105371,1
97502017,97502,4,105401,1
97502018,97502,4,105521,1
97502019,97502,4,105012,1
97502020,97502,4,105222,1
97502021,97502,4,105042,1
97502022,97502,4,105102,1
97502023,97502,4,105072,1
97502024,97502,4,105162,1
97502025,97502,4,105192,1
97502026,97502,4,105132,1
97502027,97502,4,105252,1
97502028,97502,4,105552,1
97502029,97502,4,105612,1
97502030,97502,4,105582,1
97502031,97502,4,105522,1
97502032,97502,4,105431,1
97502033,97502,4,105282,1
97502034,97502,4,105372,1
97502035,97502,4,105342,1
97502036,97502,4,105312,1
97502037,97502,4,105043,1
97502038,97502,4,105073,1
97502039,97502,4,105133,1
97502040,97502,4,105013,1
97502041,97502,4,105223,1
97502042,97502,4,105193,1
97502043,97502,4,105103,1
97502044,97502,4,105253,1
97502045,97502,4,105163,1
97502046,97502,4,105553,1
97502047,97502,4,105583,1
97502048,97502,4,105613,1
97502049,97502,4,105283,1
97502050,97502,4,105491,1
97502051,97502,4,105373,1
97502052,97502,4,105313,1
97502053,97502,4,105343,1
97502054,97502,4,105462,1
97502055,97502,4,105044,1
97502056,97502,4,105254,1
97502057,97502,4,105104,1
97502058,97502,4,105224,1
97502059,97502,4,105194,1
97502060,97502,4,105074,1
97502061,97502,4,105134,1
97502062,97502,4,105164,1
97502063,97502,4,105014,1
97502064,97502,4,105614,1
97502065,97502,4,105584,1
97502066,97502,4,105554,1
97502067,97502,4,105314,1
97502068,97502,4,105523,1
97502069,97502,4,105374,1
97502070,97502,4,105344,1
97502071,97502,4,105432,1
97502072,97502,4,105284,1
97503001,97503,2,90005,20
97503002,97503,4,140001,10
97503003,97503,6,93001,250
97503004,97503,8,91002,500
97503005,97503,12,94002,500000
97503006,97503,2,25001,5
97504001,97504,2,97102,1
97504002,97504,2,97103,1
97504003,97504,2,97104,1
97504004,97504,2,97105,1
