unit_id,unit_name,prefab_id,motion_type,se_type,move_speed,search_area_width,atk_type,normal_atk_cast_time,cutin,cutin_star6,visual_change_flag,comment
200100,"擲岩猴",200100,0,0,270,800,1,3.5,0,0,0,"【物理】遠距離攻擊\n能夠投擲大石頭，從遠處\n攻擊的猴子魔物。"
200200,"氣球鳥",200200,0,0,270,800,1,3.0,0,0,0,"【恢復】範圍恢復\n能用膨起的肚子中累積的魔力，\n來恢復同伴的鳥型魔物。"
200300,"守門者",200300,0,0,270,200,2,3.5,0,0,0,"【魔法】範圍攻擊\n敞開地獄之門，並吐出會使人火傷的熱炎，\n是魔界的守衛。"
200400,"狼人",200400,0,0,270,350,1,2.5,0,0,0,"【物理】近距離攻擊\n以尖銳的利爪敵人撕裂，\n一種野狼的魔物。"
200500,"狂野角鹿",200500,0,16,270,200,1,3.0,0,0,0,"【物理】近距離攻擊\n巨大的雙角除了攻擊也能防禦，\n是鹿型的魔物。"
200501,"冰雪角鹿",200501,0,16,270,200,1,3.0,0,0,0,"【物理】近距離攻擊\n住在高山深處，厚實的毛皮下，\n擁有強壯的身體，是一種馴鹿的魔物。"
200600,"鼠妖",200600,0,11,270,250,1,1.5,0,0,0,"【物理】近距離攻擊\n威力雖然不高，但能迅捷地進行多次\n攻擊，是鼠型的魔物。"
200700,"木靈",200700,0,17,270,400,2,3.0,0,0,0,"【魔法】中距離攻擊\n扔擲魔力的砲彈，\n能攻擊到較後方的朽木魔物。"
200701,"石靈",200701,0,17,270,400,2,3.0,0,0,0,"【魔法】中距離攻擊\n能投射出使人燃燒的火焰，\n使敵人受到火傷，\n來追加傷害的詛咒石像。"
200800,"噬岩怪",200800,0,15,270,1080,1,3.5,0,0,0,"【物理】遠距離攻擊\n擁有就連岩石都能輕易嚼碎的堅硬牙\n齒，出沒在山中的精靈。"
200801,"噬冰怪",200801,0,15,270,1080,1,3.5,0,0,0,"【物理】遠距離攻擊\n以冰塊作為武器，甚至食材的\n雪山的精靈。"
200900,"樹精",200900,0,15,270,200,1,2.5,0,0,0,"【物理】前衛，近距離攻擊\n把柔韌長枝當作鞭子一樣攻擊\n的樹木魔物。"
200901,"擰扭相思樹",200901,0,15,270,200,1,2.5,0,0,0,"【物理】近距離攻擊\n能用扭捲而成的長枝，將冒險家拖行到森林深處的樹木魔物。"
200902,"多倫多獸",200902,0,15,270,200,1,0.5,0,0,0,"【物理】中距離攻擊\n能自由伸展分枝，以老練的技巧\n探中痛點的朽木魔物。"
200903,"多倫多獸",200902,0,15,270,3000,1,0.5,0,0,0,"【物理】中距離攻擊\n能自由伸展分枝，以老練的技巧\n探中痛點的朽木魔物。"
201000,"怨火之顱",201000,0,17,270,1080,2,3.0,0,0,0,"【魔法】中距離攻擊\n身纏著地獄之火，\n且朝著生者襲擊而來的怨念的集合體。"
201100,"狗頭人",201100,0,15,270,650,1,3.5,0,0,0,"【物理】中距離攻擊\n投擲著用骨頭做成的迴力鏢\n做為攻擊手段，一種山犬的魔物。"
201101,"狗頭刺客",201101,0,15,270,650,1,0.5,0,0,0,"【物理】中距離攻擊\n以快速步伐耍弄，趁些微的空隙\n扔出飛刀的山犬魔物。"
201200,"魔像",201200,0,16,270,150,1,5.0,0,0,0,"【物理】近距離攻擊\n有著堅硬的身軀，\n是攻守具佳的岩石魔物。"
201201,"青藍魔像",201201,0,16,270,150,1,5.0,0,0,0,"【物理】【魔法防禦】近距離攻擊\n從蘊含著魔力的岩石中誕生而出，\n擁有魔法耐力的魔像。"
201202,"青藍魔像",201202,0,16,270,150,1,5.0,0,0,0,"【物理】【魔法防禦】近距離攻擊\n從蘊含著魔力的岩石中誕生而出，\n擁有魔法耐力的魔像。"
201300,"岩花",201300,0,15,270,800,1,3.5,0,0,0,"【物理】中距離攻擊\n能將石子像子彈一樣彈射而出來做為\n攻擊，是以石頭造且能夠移動的花。"
201301,"癲狂之花",201301,0,15,270,800,1,3.5,0,0,0,"【物理】中距離攻擊\n在尾端的花會散發著嚴重的惡臭， \n也有若習慣那味道後， \n會使人不禁上癮的說法。"
201302,"仙人掌花",201302,0,15,270,800,1,3.5,0,0,0,"【物理】中距離攻擊\n無限發射會使人麻痺的針，\n是一株會移動的仙人掌。"
201400,"雷雲長老",201400,0,0,270,1080,2,3.0,0,0,0,"【魔法】【輔助】範圍攻擊\n能夠自在地操縱氣象，\n能雷擊的雲型魔物。"
201500,"潛陸水母",201500,0,0,270,780,2,3.0,0,0,0,"【恢復】範圍恢復\n將撿來潛水服裡注滿了海水，\n就算是在陸地上也能戰鬥的水母型魔物。"
201600,"森之寧芙",201600,0,15,270,800,2,2.5,0,0,0,"【魔法】【召喚】近距離攻擊\n能自在利用大地的魔力來生長出\n魔菇型魔物，分布於森林裡的精靈。"
201602,"寧芙",201602,0,15,270,800,2,2.5,0,0,0,"【魔法】中距離攻擊\n只要找到了可以玩的對象，\n就會無止盡的捉弄對方，\n一種森之精靈。"
201700,"生者戰士像",201700,0,16,270,150,1,4.0,0,0,0,"【物理】【魔法防禦】近距離攻擊\n無論是什麼魔法攻擊都能以盾防禦，\n是座擁有生命的石像。"
201800,"生者劍士",201800,0,5,270,150,1,4.0,0,0,0,"【物理】【物理防禦】近距離攻擊\n無論是什麼物理攻擊都能以劍反射回擊，\n是座擁有生命的石像。"
201900,"烏帕魯帕",201900,0,0,270,1080,1,3.0,0,0,0,"【物理】遠距離攻擊\n棲息於沉積泥沼地之中，能從口中\n吐出強力的毒，一種山椒魚型魔物。"
201901,"岩漿烏帕魯帕",201901,0,0,270,1080,1,3.0,0,0,0,"【物理】遠距離攻擊\n潛藏在岩漿之海中，會對接近之物吐\n出灼熱體液，一種山椒魚魔物。"
202000,"岩龜暴君",202000,0,16,270,150,1,5.5,0,0,0,"【物理】【物理防禦】近距離攻擊\n不管是任何的物理攻擊都能用硬殼\n給彈開，巨大的龜型魔物。"
202100,"發光蕈菇",202100,0,14,270,200,1,2.0,0,0,0,"【物理】近距離攻擊\n應森精所召喚而出，能夠無限地\n生長出來的魔菇精靈。"
202101,"紅蕈菇",202101,0,14,270,200,1,2.0,0,0,0,"【物理】近距離攻擊\n傳聞拿來燉煮後意外地好吃，\n一種會走路的魔菇魔物。"
202200,"翼耳兔",202200,0,15,270,650,2,3.5,0,0,0,"【魔法】近距離攻擊\n能夠煽動巨大的長耳，以著驚人之勢\n突擊而上，是一種兔子魔物。"
202300,"火焰咒士",202300,0,17,270,1080,2,3.5,0,0,0,"【魔法】遠距離攻擊\n能以地獄喚來火炎，\n使於魔法上進行攻擊，是一種上級的惡魔。"
202400,"洞窟猿猴",202400,0,12,270,750,1,3.0,0,0,0,"【物理】近距離攻擊\n手臂上強韌的肌肉，使牠甚至能夠\n擺盪鐘乳石間穿梭，是一種大型猴怪魔物。"
202500,"洞窟蝙蝠",202500,0,15,270,550,2,3.5,0,0,0,"【魔法】近距離攻擊 \n棲息於洞窟之中，\n聽取著獵物的腳步聲 進行襲擊，\n一種蝙蝠型魔物。"
202600,"岩窟蝸牛",202600,0,0,270,750,2,4.0,0,0,0,"【恢復】範圍恢復\n據說分泌出的黏液，\n有良好的美容效果，\n一種蝸牛型魔物。"
202700,"寄居蟹騎士",202700,0,6,270,350,1,3.0,0,0,0,"【物理】近距離攻擊\n將被擊倒的騎士所覆的頭盔，做為\n自己的貝殼，一種寄居蟹戰士。"
202800,"流浪之鴉",202800,0,4,270,650,1,3.0,0,0,0,"【物理】範圍攻擊\n到處打倒阿斯特朗中強力的魔物\n的流浪烏鴉。"
202802,"遷徙之鳶",202802,0,4,270,650,1,2.6,0,0,0,"【物理】範圍攻擊\n崇拜著生於荒野，也將死於荒野\n的生活方式，是一隻孤鳥。"
202900,"毒牙蜥蜴",202900,0,14,270,200,1,2.5,0,0,0,"【物理】近距離攻擊\n被那尖銳之牙給咬上一口，\n便會留下足以致命的負傷，是一種毒蜥蜴魔物。"
202901,"岩石蜥蜴",202901,0,14,270,200,1,3.0,0,0,0,"【物理】近距離攻擊\n那頭部的外層就如同鎧甲般堅硬，\n是一種岩石巨蜥魔物。"
202902,"翠綠蜥蜴",202902,0,14,270,200,1,3.0,0,0,0,"【物理】近距離攻擊\n襟領上有著鮮豔的綠葉，\n是蜥蜴魔物介的時尚大佬。"
202903,"岩石蜥蜴",202903,0,14,270,2050,1,3.0,0,0,0,"【物理】近距離攻擊\n那頭部的外層就如同鎧甲般堅硬，\n是一種岩石巨蜥魔物。"
202904,"火蜥蜴",202904,0,14,270,200,1,0.5,0,0,0,"【物理】近距離攻擊\n靠著尾巴上永遠燃燒著的火焰\n能常保身體溫熱，並不停使出二連擊\n的蜥蜴魔物。"
202905,"石蜥",202905,0,14,270,100,1,3.0,0,0,0,"【物理】近距離攻擊\n沾染上高等・加爾格噴散殘留物的岩石蜥蜴。藉由露娜的魔力，將表皮轉換成了堅固的礦石。"
203000,"軟泥怪",203000,0,15,270,200,2,2.0,0,0,0,"【魔法】近距離攻擊\n用物理攻擊相當難以擊中，\n非常濕黏的果凍狀魔物。"
203001,"閃焰軟泥怪",203001,0,15,270,200,2,2.0,0,0,0,"【魔法】近距離攻擊\n被森林大火給捲入而著火，\n因此變得更加凶暴的軟泥怪。"
203100,"幼年巨蜥",203100,0,17,270,800,2,3.5,0,0,0,"【魔法】近距離攻擊\n儘管還年幼仍然會吐著強力\n的火焰，是巨蜥的幼獸。"
203200,"搗蛋惡魔",203200,0,12,270,650,2,3.5,0,0,0,"【魔法】近距離攻擊\n使用與身長比例不符、異常巨大的爪子\n做為攻擊，是仍在見習中的惡魔。"
203300,"哥布林護衛",203300,0,15,270,150,1,4.0,0,0,0,"【物理】近距離攻擊\n以逼近身高高度的巨大的盾牌\n守護著同伴的，見習哥布靈士兵。"
203301,"叢林護衛",203301,0,15,270,150,1,4.0,0,0,0,"【物理】近距離攻擊\n以看似臉譜的大型盾牌嚇阻\n入侵者，是叢林的守護者。"
203302,"哥布林護衛",203300,0,15,270,50,1,4.0,0,0,0,"【物理】近距離攻擊\n以逼近身高高度的巨大的盾牌\n守護著同伴的，見習哥布靈士兵。"
