id,gacha_id,introduction_number,start_time,end_time,maximum_chunk_size_1,maximum_chunk_size_loop_1,maximum_chunk_size_2,maximum_chunk_size_loop_2,maximum_chunk_size_3,maximum_chunk_size_loop_3
1,30001,1,"2015/04/01 15:00:00","2018/08/08 15:59:59",380000,380000,0,0,0,0
2,30002,1,"2018/08/08 16:00:00","2018/08/20 15:59:59",380000,380000,0,0,0,0
3,30003,1,"2018/08/20 16:00:00","2018/08/31 15:59:59",380000,380000,0,0,0,0
4,30004,1,"2018/08/31 16:00:00","2018/09/14 15:59:59",380000,380000,0,0,0,0
5,30005,1,"2018/09/14 16:00:00","2018/09/21 15:59:59",380000,380000,0,0,0,0
6,30006,1,"2018/09/21 16:00:00","2018/10/09 15:59:59",380000,380000,0,0,0,0
7,30007,1,"2018/10/09 16:00:00","2018/10/22 15:59:59",380000,380000,0,0,0,0
8,30008,1,"2018/10/22 16:00:00","2018/11/08 15:59:59",380000,380000,0,0,0,0
9,30009,1,"2018/11/08 16:00:00","2018/11/15 15:59:59",380000,380000,0,0,0,0
10,30010,1,"2018/11/15 16:00:00","2018/11/30 15:59:59",380000,380000,0,0,0,0
11,30011,1,"2018/11/30 16:00:00","2018/12/13 15:59:59",380000,380000,0,0,0,0
12,30012,1,"2018/12/13 16:00:00","2018/12/27 15:59:59",380000,380000,0,0,0,0
14,30014,1,"2019/01/09 16:00:00","2019/01/22 15:59:59",380000,380000,0,0,0,0
15,30015,1,"2019/01/22 16:00:00","2019/02/01 11:59:59",380000,380000,0,0,0,0
16,50018,2,"2019/02/01 12:00:00","2019/02/04 23:59:59",380000,0,380000,380000,0,0
17,30016,1,"2019/02/13 16:00:00","2019/02/27 15:59:59",380000,380000,0,0,0,0
18,30017,1,"2019/02/27 16:00:00","2019/03/13 15:59:59",380000,380000,0,0,0,0
20,30019,1,"2019/03/13 16:00:00","2019/03/27 15:59:59",380000,380000,0,0,0,0
21,30020,1,"2019/03/27 16:00:00","2019/04/03 15:59:59",380000,380000,0,0,0,0
22,30021,1,"2019/04/03 16:00:00","2019/04/19 15:59:59",380000,380000,0,0,0,0
23,30022,1,"2019/04/19 16:00:00","2019/05/07 15:59:59",380000,380000,0,0,0,0
24,50023,2,"2019/05/07 16:00:00","2019/05/14 15:59:59",380000,0,380000,380000,0,0
25,30025,1,"2019/06/03 16:00:00","2019/06/17 15:59:59",380000,380000,0,0,0,0
26,30026,1,"2019/06/17 16:00:00","2019/07/01 15:59:59",380000,380000,0,0,0,0
27,50027,2,"2019/07/01 16:00:00","2019/07/15 15:59:59",380000,0,380000,380000,0,0
28,30028,1,"2019/07/15 16:00:00","2019/07/26 15:59:59",380000,380000,0,0,0,0
29,30029,1,"2019/07/26 16:00:00","2019/08/01 15:59:59",380000,380000,0,0,0,0
30,30031,1,"2019/08/01 16:00:00","2019/08/15 15:59:59",380000,380000,0,0,0,0
31,30032,1,"2019/08/15 16:00:00","2019/08/28 15:59:59",380000,380000,0,0,0,0
33,50033,2,"2019/09/02 16:00:00","2019/09/09 15:59:59",380000,0,380000,380000,0,0
34,30035,1,"2019/09/17 16:00:00","2019/09/20 15:59:59",380000,380000,0,0,0,0
35,30036,1,"2019/09/20 16:00:00","2019/10/01 15:59:59",380000,380000,0,0,0,0
